Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Social Genocide	documentary	2004	Fernando E. Solanas	7.6	120	http://www.imdb.com/title/tt0400647/
Consuming Kids: The Commercialization of Childhood	documentary	2008	Adriana Barbaro, Jeremy Earp	7.3	66	http://www.imdb.com/title/tt1337599/
Children Underground	documentary	2001	Edet Belzberg	7.7	104	http://www.imdb.com/title/tt0264476/
Which Way Home	documentary	2009	Rebecca Cammisa	7.6	90	http://www.imdb.com/title/tt0489342/
I Am Because We Are	documentary	2008	Nathan Rissman	6.9	90	http://www.imdb.com/title/tt1138006/
Before Flying Back to Earth	documentary	2005	Arunas Matelis	7.6	52	http://www.imdb.com/title/tt0892425/
Checkpoint	documentary	2003	Yoav Shamir	7.3	80	http://www.imdb.com/title/tt0391857/
Tears of Gaza	documentary, war	2010	Vibeke Løkkeberg	7	90	http://www.imdb.com/title/tt1699705/
Common Threads: Stories from the Quilt	documentary, biography, history	1989	Rob Epstein, Jeffrey Friedman	7.5	79	http://www.imdb.com/title/tt0097099/
The Third Wave	documentary, adventure, drama	2007	Alison Thompson	6.8	94	http://www.imdb.com/title/tt0939669/
The Other Dream Team	documentary, sport	2012	Marius A. Markevicius	7.7	89	http://www.imdb.com/title/tt1606829/
We Are Together (Thina Simunye)	documentary, music	2006	Paul Taylor	6.8	83	http://www.imdb.com/title/tt0926347/
Baraka	documentary, war	1992	Ron Fricke	8.3	96	http://www.imdb.com/title/tt0103767/
Blue Gold: World Water Wars	documentary	2008	Sam Bozzo	7.6	90	http://www.imdb.com/title/tt1137439/
Mondo cane	documentary	1962	Paolo Cavara, Gualtiero Jacopetti	6.2	108	http://www.imdb.com/title/tt0057318/
Mondo pazzo	documentary	1963	Gualtiero Jacopetti, Franco Prosperi	5.7	102	http://www.imdb.com/title/tt0058365/
Under Our Skin	documentary	2008	Andy Abrahams Wilson	7.6	104	http://www.imdb.com/title/tt1202579/
The English Surgeon	documentary	2007	Geoffrey Smith	7.5	94	http://www.imdb.com/title/tt1200060/
Autopsy: Confessions of a Medical Examiner	crime, documentary	1994	Arthur Ginsberg	6.7		http://www.imdb.com/title/tt0430897/
Autopsy 2: Voices from the Dead	crime, documentary	1995	Arthur Ginsberg	6.8		http://www.imdb.com/title/tt0430898/
A Crude Awakening: The Oil Crash	documentary, war	2006	Basil Gelpke, Raymond McCormack	7.7	84	http://www.imdb.com/title/tt0776794/
Blind Spot	documentary	2008	Adolfo Doring	7	86	http://www.imdb.com/title/tt1285158/
Crude	documentary	2009	Joe Berlinger	7.2	105	http://www.imdb.com/title/tt1326204/
Isle of Flowers	documentary	1990	Jorge Furtado	8	13	http://www.imdb.com/title/tt0097564/
Harlan County U.S.A.	documentary	1976	Barbara Kopple	8.2	103	http://www.imdb.com/title/tt0074605/
The Enemies of Reason	documentary	2007	Russell Barnes	7.6	90	http://www.imdb.com/title/tt1092058/
The Century of the Self	documentary	2002		7.8	240	http://www.imdb.com/title/tt0432232/
The Anatomy of Hate	documentary	2009	Mike Ramsdell	6.9	86	http://www.imdb.com/title/tt1337446/
West of Memphis	documentary	2012	Amy Berg	7.7	147	http://www.imdb.com/title/tt2130321/
Killing in the Name	documentary	2010	Jed Rothstein	6.6	39	http://www.imdb.com/title/tt1684897/
Poster Girl	documentary, biography, war	2010	Sara Nesson	6.5	38	http://www.imdb.com/title/tt1505384/
Strangers No More	documentary	2010	Karen Goodman, Kirk Simon	6.5	40	http://www.imdb.com/title/tt1754549/
Sun Come Up	documentary, adventure, news	2011	Jennifer Redfearn	6.4	38	http://www.imdb.com/title/tt1621975/
The Warriors of Qiugang	documentary	2010	Ruby Yang	6.8	39	http://www.imdb.com/title/tt1744887/
Beauty Is Embarrassing	documentary, biography, comedy	2012	Neil Berkeley	6.7	88	http://www.imdb.com/title/tt2040281/
AFI's 100 Years... 100 Movies: America's Greatest Movies	documentary	1998	Gary Smith, Dann Netter	6.8	138	http://www.imdb.com/title/tt0192952/
The Flat	documentary	2011	Arnon Goldfinger	6.7	97	http://www.imdb.com/title/tt2071620/
The Ambassador	documentary	2011	Mads Brügger	7.1	93	http://www.imdb.com/title/tt2048877/
Detropia	documentary	2012	Heidi Ewing, Rachel Grady	6.2	90	http://www.imdb.com/title/tt2125490/
Craigslist Joe	documentary, adventure	2012	Joseph Garner	6.5	90	http://www.imdb.com/title/tt1486616/
