Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Star Wars: Episode III - Revenge of the Sith	action, adventure, fantasy, sci_fi	2005	George Lucas	7.7	140	http://www.imdb.com/title/tt0121766/
War of the Worlds	adventure, sci_fi, thriller	2005	Steven Spielberg	6.5	116	http://www.imdb.com/title/tt0407304/
Underworld: Evolution	action, fantasy, sci_fi, thriller	2006	Len Wiseman	6.7	106	http://www.imdb.com/title/tt0401855/
X-Men: The Last Stand	action, adventure, sci_fi, thriller	2006	Brett Ratner	6.8	104	http://www.imdb.com/title/tt0376994/
28 Weeks Later	horror, sci_fi, thriller	2007	Juan Carlos Fresnadillo	7	100	http://www.imdb.com/title/tt0463854/
Aliens vs. Predator: Requiem	action, horror, sci_fi, thriller	2007	The Brothers Strause, The Brothers Strause	4.7	94	http://www.imdb.com/title/tt0758730/
Fantastic 4: Rise of the Silver Surfer	action, fantasy, sci_fi, thriller	2007	Tim Story	5.6	92	http://www.imdb.com/title/tt0486576/
The Golden Compass	adventure, family, fantasy, sci_fi	2007	Chris Weitz	6.1	113	http://www.imdb.com/title/tt0385752/
Next	action, sci_fi, thriller	2007	Lee Tamahori	6.1	96	http://www.imdb.com/title/tt0435705/
10,000 BC	action, adventure, drama, fantasy, sci_fi	2008	Roland Emmerich	4.9	109	http://www.imdb.com/title/tt0443649/
City of Ember	adventure, family, fantasy, sci_fi	2008	Gil Kenan	6.4	90	http://www.imdb.com/title/tt0970411/
Doomsday	action, sci_fi	2008	Neil Marshall	6	108	http://www.imdb.com/title/tt0483607/
The Incredible Hulk	action, sci_fi, thriller	2008	Louis Leterrier	6.9	112	http://www.imdb.com/title/tt0800080/
Journey to the Center of the Earth	action, adventure, family, fantasy, sci_fi	2008	Eric Brevig	5.7	93	http://www.imdb.com/title/tt0373051/
Star Wars: The Clone Wars	animation, action, adventure, fantasy, sci_fi, thriller	2008	Dave Filoni	5.6	98	http://www.imdb.com/title/tt1185834/
2012	action, adventure, sci_fi	2009	Roland Emmerich	5.8	158	http://www.imdb.com/title/tt1190080/
Avatar	action, adventure, fantasy, sci_fi	2009	James Cameron	8	162	http://www.imdb.com/title/tt0499549/
The Box	drama, mystery, sci_fi, thriller	2009	Richard Kelly	5.6	115	http://www.imdb.com/title/tt0362478/
G.I. Joe: The Rise of Cobra	action, adventure, sci_fi, thriller	2009	Stephen Sommers	5.7	118	http://www.imdb.com/title/tt1046173/
Knowing	drama, mystery, sci_fi, thriller	2009	Alex Proyas	6.2	121	http://www.imdb.com/title/tt0448011/
Monsters vs Aliens	animation, action, adventure, comedy, family, sci_fi	2009	Rob Letterman, Conrad Vernon	6.6	94	http://www.imdb.com/title/tt0892782/
Pandorum	action, horror, sci_fi, thriller	2009	Christian Alvart	6.7	108	http://www.imdb.com/title/tt1188729/
Planet 51	animation, adventure, comedy, family, sci_fi	2009	Jorge Blanco, Javier Abad	6.1	91	http://www.imdb.com/title/tt0762125/
Race to Witch Mountain	action, adventure, family, fantasy, sci_fi, thriller	2009	Andy Fickman	5.7	98	http://www.imdb.com/title/tt1075417/
Star Trek	action, adventure, sci_fi	2009	J.J. Abrams	8	127	http://www.imdb.com/title/tt0796366/
Transformers: Revenge of the Fallen	action, adventure, sci_fi, thriller	2009	Michael Bay	5.9	150	http://www.imdb.com/title/tt1055369/
Underworld: Rise of the Lycans	action, adventure, fantasy, sci_fi, thriller	2009	Patrick Tatopoulos	6.5	92	http://www.imdb.com/title/tt0834001/
Watchmen	action, drama, sci_fi	2009	Zack Snyder	7.6	162	http://www.imdb.com/title/tt0409459/
X-Men Origins: Wolverine	action, adventure, sci_fi, thriller	2009	Gavin Hood	6.7	107	http://www.imdb.com/title/tt0458525/
