Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Sophie Scholl: The Final Days	biography, crime, drama, history, thriller, war	2005	Marc Rothemund	7.6	120	http://www.imdb.com/title/tt0426578/
The Great Raid	action, drama, war	2005	John Dahl	6.6	132	http://www.imdb.com/title/tt0326905/
Flags of Our Fathers	drama, history, war	2006	Clint Eastwood	7.1	132	http://www.imdb.com/title/tt0418689/
Days of Glory	drama, war	2006	Rachid Bouchareb	7	128	http://www.imdb.com/title/tt0444182/
Letters from Iwo Jima	drama, history, war	2006	Clint Eastwood	7.9	141	http://www.imdb.com/title/tt0498380/
Black Book	drama, thriller, war	2006	Paul Verhoeven	7.8	145	http://www.imdb.com/title/tt0389557/
Katyn	drama, history, war	2007	Andrzej Wajda	7	122	http://www.imdb.com/title/tt0879843/
Lust, Caution	drama, romance, thriller, war	2007	Ang Lee	7.5	157	http://www.imdb.com/title/tt0808357/
The Counterfeiters	crime, drama, war	2007	Stefan Ruzowitzky	7.6	98	http://www.imdb.com/title/tt0813547/
A Woman in Berlin	drama, war, history	2008	Max Färberböck	6.9	131	http://www.imdb.com/title/tt1035730/
Defiance	action, drama, history, thriller, war	2008	Edward Zwick	7.1	137	http://www.imdb.com/title/tt1034303/
Flame and Citron	drama, history, thriller, war	2008	Ole Christian Madsen	7.2	130	http://www.imdb.com/title/tt0920458/
Max Manus: Man of War	action, biography, drama, history, war	2008	Joachim Rønning, Espen Sandberg	7.2	118	http://www.imdb.com/title/tt1029235/
Miracle at St. Anna	action, crime, drama, thriller, war	2008	Spike Lee	6	160	http://www.imdb.com/title/tt1046997/
Valkyrie	drama, history, thriller, war	2008	Bryan Singer	7.1	121	http://www.imdb.com/title/tt0985699/
City of Life and Death	drama, history, war	2009	Chuan Lu	7.6	132	http://www.imdb.com/title/tt1124052/
Inglourious Basterds	adventure, drama, war	2009	Quentin Tarantino	8.3	153	http://www.imdb.com/title/tt0361748/
John Rabe	biography, drama, history, war	2009	Florian Gallenberger	7.1	134	http://www.imdb.com/title/tt1124377/
The Edge of Love	biography, drama, romance, war	2008	John Maybury	6.2	110	http://www.imdb.com/title/tt0819714/
Adam Resurrected	drama, war	2008	Paul Schrader	6.1	106	http://www.imdb.com/title/tt0479341/
The English Patient	drama, romance, war	1996	Anthony Minghella	7.3	162	http://www.imdb.com/title/tt0116209/
Michael Collins	biography, drama, thriller, war	1996	Neil Jordan	7	133	http://www.imdb.com/title/tt0117039/
Seven Years in Tibet	adventure, biography, drama, history, war	1997	Jean-Jacques Annaud	6.8	136	http://www.imdb.com/title/tt0120102/
Life Is Beautiful	comedy, drama, romance, war	1997	Roberto Benigni, Rod Dean	8.5	116	http://www.imdb.com/title/tt0118799/
The Thin Red Line	drama, war	1998	Terrence Malick	7.6	170	http://www.imdb.com/title/tt0120863/
The General's Daughter	crime, drama, mystery, thriller, war	1999	Simon West	6.1	116	http://www.imdb.com/title/tt0144214/
The Messenger: The Story of Joan of Arc	adventure, biography, drama, history, war	1999	Luc Besson	6.3	158	http://www.imdb.com/title/tt0151137/
The Patriot	action, drama, war	2000	Roland Emmerich	7	165	http://www.imdb.com/title/tt0187393/
Rules of Engagement	action, drama, thriller, war	2000	William Friedkin	6.2	128	http://www.imdb.com/title/tt0160797/
U-571	action, drama, thriller, war	2000	Jonathan Mostow	6.5	116	http://www.imdb.com/title/tt0141926/
Behind Enemy Lines	action, war, drama, thriller	2001	John Moore	6.2	106	http://www.imdb.com/title/tt0159273/
Black Hawk Down	drama, history, war	2001	Ridley Scott	7.7	144	http://www.imdb.com/title/tt0265086/
Enemy at the Gates	drama, history, thriller, war	2001	Jean-Jacques Annaud	7.5	131	http://www.imdb.com/title/tt0215750/
Pearl Harbor	action, drama, romance, war	2001	Michael Bay	5.8	183	http://www.imdb.com/title/tt0213149/
The Four Feathers	adventure, drama, romance, war	2002	Shekhar Kapur	6.3	132	http://www.imdb.com/title/tt0240510/
Hart's War	drama, war	2002	Gregory Hoblit	6.2	125	http://www.imdb.com/title/tt0251114/
K-19: The Widowmaker	drama, history, thriller, war	2002	Kathryn Bigelow	6.5	138	http://www.imdb.com/title/tt0267626/
We Were Soldiers	action, drama, history, war	2002	Randall Wallace	7	138	http://www.imdb.com/title/tt0277434/
Beyond Borders	adventure, drama, romance, war	2003	Martin Campbell	6.2	127	http://www.imdb.com/title/tt0294357/
Gods and Generals	drama, history, war	2003	Ronald F. Maxwell	6.1	219	http://www.imdb.com/title/tt0279111/
The Last Samurai	action, drama, history, war	2003	Edward Zwick	7.7	154	http://www.imdb.com/title/tt0325710/
Master and Commander: The Far Side of the World	action, adventure, drama, war	2003	Peter Weir	7.4	138	http://www.imdb.com/title/tt0311113/
Tears of the Sun	action, drama, thriller, war	2003	Antoine Fuqua	6.5	121	http://www.imdb.com/title/tt0314353/
The Alamo	drama, history, war, western	2004	John Lee Hancock	5.9	137	http://www.imdb.com/title/tt0318974/
Alexander	action, adventure, biography, drama, history, romance, war	2004	Oliver Stone	5.4	175	http://www.imdb.com/title/tt0346491/
Fahrenheit 9/11	documentary, history, war	2004	Michael Moore	7.5	122	http://www.imdb.com/title/tt0361596/
Hotel Rwanda	biography, drama, history, war	2004	Terry George	8.2	121	http://www.imdb.com/title/tt0395169/
King Arthur	action, adventure, drama, history, war	2004	Antoine Fuqua	6.2	126	http://www.imdb.com/title/tt0349683/
Kingdom of Heaven	action, adventure, drama, history, war	2005	Ridley Scott	7.1	144	http://www.imdb.com/title/tt0320661/
Valiant	animation, adventure, comedy, family, war	2005	Gary Chapman	5.5	76	http://www.imdb.com/title/tt0361089/
Pan's Labyrinth	drama, fantasy, war	2006	Guillermo del Toro	8.3	118	http://www.imdb.com/title/tt0457430/
300	action, fantasy, history, war	2006	Zack Snyder	7.7	117	http://www.imdb.com/title/tt0416449/
Atonement	drama, mystery, romance, war	2007	Joe Wright	7.8	123	http://www.imdb.com/title/tt0783233/
The Last Legion	action, adventure, fantasy, war	2007	Doug Lefler	5.4	102	http://www.imdb.com/title/tt0462396/
A Mighty Heart	biography, drama, history, thriller, war	2007	Michael Winterbottom	6.6	108	http://www.imdb.com/title/tt0829459/
Pathfinder	action, adventure, drama, history, thriller, war	2007	Marcus Nispel	5.3	99	http://www.imdb.com/title/tt0446013/
Australia	adventure, drama, history, romance, war	2008	Baz Luhrmann	6.6	165	http://www.imdb.com/title/tt0455824/
The Boy in the Striped Pajamas	drama, history, war	2008	Mark Herman	7.7	94	http://www.imdb.com/title/tt0914798/
Meet the Spartans	comedy, war	2008	Jason Friedberg, Aaron Seltzer	2.6	86	http://www.imdb.com/title/tt1073498/
Rambo	action, thriller, war	2008	Sylvester Stallone	7.1	92	http://www.imdb.com/title/tt0462499/
Battle for Terra	animation, action, adventure, sci_fi, thriller, war	2007	Aristomenis Tsirbas	6.6	85	http://www.imdb.com/title/tt0858486/
Brothers	drama, thriller, war	2009	Jim Sheridan	7.1	105	http://www.imdb.com/title/tt0765010/
The Men Who Stare at Goats	comedy, war	2009	Grant Heslov	6.3	94	http://www.imdb.com/title/tt1234548/
Dear John	drama, romance, war	2010	Lasse Hallström	6	108	http://www.imdb.com/title/tt0989757/
Battleship	action, adventure, sci_fi, thriller, war	2012	Peter Berg	5.9	131	http://www.imdb.com/title/tt1440129/
For Greater Glory: The True Story of Cristiada	drama, history, war	2012	Dean Wright	6.1	145	http://www.imdb.com/title/tt1566501/
Red Tails	action, adventure, drama, history, war	2012	Anthony Hemingway	5.8	125	http://www.imdb.com/title/tt0485985/
The Dirty Dozen	action, drama, war	1967	Robert Aldrich	7.8	150	http://www.imdb.com/title/tt0061578/
Where Eagles Dare	action, adventure, war	1968	Brian G. Hutton	7.6	158	http://www.imdb.com/title/tt0065207/
