Title	Year	Directors	IMDb Rating	Runtime (mins)	URL
Gus	1976	Vincent McEveety	5.6	96	http://www.imdb.com/title/tt0074599/
Stroker Ace	1983	Hal Needham	4.3	96	http://www.imdb.com/title/tt0086379/
The Great White Hope	1970	Martin Ritt	6.9	103	http://www.imdb.com/title/tt0065797/
One on One	1977	Lamont Johnson	6.2	98	http://www.imdb.com/title/tt0076500/
Winter Comes Early	1971	George McCowan	6.2	112	http://www.imdb.com/title/tt0068564/
The Last American Hero	1973	Lamont Johnson	6.2	95	http://www.imdb.com/title/tt0070287/
Semi-Tough	1977	Michael Ritchie	5.8	108	http://www.imdb.com/title/tt0078227/
Making the Grade	1984	Dorian Walker	5.2	105	http://www.imdb.com/title/tt0087666/
Everybody's All-American	1988	Taylor Hackford	6.1	127	http://www.imdb.com/title/tt0095119/
Sunset Park	1996	Steve Gomer	5.2	99	http://www.imdb.com/title/tt0117784/
Homeboy	1988	Michael Seresin	5.6	116	http://www.imdb.com/title/tt0095316/
Greased Lightning	1977	Michael Schultz	5.8	96	http://www.imdb.com/title/tt0076106/
The Cheerleaders	1973	Paul Glickler	5.3	84	http://www.imdb.com/title/tt0068364/
The Greatest	1977	Tom Gries	5.3	101	http://www.imdb.com/title/tt0076111/
International Velvet	1978	Bryan Forbes	5.6	127	http://www.imdb.com/title/tt0077743/
Price of Glory	2000	Carlos Avila	5.9	118	http://www.imdb.com/title/tt0188160/
The World's Greatest Athlete	1973	Robert Scheerer	5.4	93	http://www.imdb.com/title/tt0070928/
The Slugger's Wife	1985	Hal Ashby	4.2	105	http://www.imdb.com/title/tt0090036/
Streets of Gold	1986	Joe Roth	5.7	95	http://www.imdb.com/title/tt0092022/
The Games	1970	Michael Winner	5.8	100	http://www.imdb.com/title/tt0065757/
Monster Brawl	2011	Jesse T. Cook	3.7	89	http://www.imdb.com/title/tt1716753/
The Winning Season	2009	James C. Strouse	6.6	104	http://www.imdb.com/title/tt1293842/
Soul of the Game	1996	Kevin Rodney Sullivan	7.3	94	http://www.imdb.com/title/tt0115631/
No One Would Tell	1996	Noel Nosseck	6.2	96	http://www.imdb.com/title/tt0117191/
The Hammer	2010	Oren Kaplan	7	108	http://www.imdb.com/title/tt1094666/
School of Life	2005	William Dear	6.3	111	http://www.imdb.com/title/tt0340331/
Saint Ralph	2004	Michael McGowan	7.3	98	http://www.imdb.com/title/tt0384488/
The Race	2009	André F. Nebe	5.8	84	http://www.imdb.com/title/tt1319032/
Unrivaled	2010	Warren P. Sonoda	3.7	109	http://www.imdb.com/title/tt1426325/
Coach	2010	Will Frears	5.1		http://www.imdb.com/title/tt1334521/
Brian's Song	2001	John Gray	6.5	88	http://www.imdb.com/title/tt0289873/
The Boxer	2009	Thomas Jahn	4.8	94	http://www.imdb.com/title/tt1198189/
Perfect Body	1997	Douglas Barr	5.9	100	http://www.imdb.com/title/tt0119881/
Mr Hockey: The Gordie Howe Story	2013	Andy Mikita	6.2		http://www.imdb.com/title/tt0883391/
Surf School	2006	Joel Silverman	2		http://www.imdb.com/title/tt0456014/
Soccer Mom	2008	Gregory McClatchy	5.1	92	http://www.imdb.com/title/tt1059980/
Note to Self	2012	Trey Haley	3.9	100	http://www.imdb.com/title/tt2140189/
Underdogs	2013	Doug Dearth	4.2	102	http://www.imdb.com/title/tt2123342/
The Flying Scotsman	2006	Douglas Mackinnon	7	96	http://www.imdb.com/title/tt0472268/
Ping Pong Playa	2007	Jessica Yu	5.9	96	http://www.imdb.com/title/tt0991167/
All You've Got	2006	Neema Barnette	4.1	95	http://www.imdb.com/title/tt0458465/
Fast Track: No Limits	2008	Axel Sand	4.7	96	http://www.imdb.com/title/tt1043635/
Hitting the Wall	2011	Jack Skyyler, Joel Brook	5.4	67	http://www.imdb.com/title/tt1930355/
Home Run Showdown	2012	Oz Scott	4.2	94	http://www.imdb.com/title/tt1680311/
Cloud 9	2006	Harry Basil	4.1	93	http://www.imdb.com/title/tt0403946/
Tyson	1995	Uli Edel	6.1	104	http://www.imdb.com/title/tt0114759/
Home of the Giants	2007	Rusty Gorman	6		http://www.imdb.com/title/tt0471005/
7-10 Split	2007	Tommy Reid	4.5	94	http://www.imdb.com/title/tt0784962/
Believe in Me	2006	Robert Collector	6.7	131	http://www.imdb.com/title/tt0419491/
From the Rough	2012	Pierre Bagley	4.7		http://www.imdb.com/title/tt1704586/
Blue Juice	1995	Carl Prechezer	5	90	http://www.imdb.com/title/tt0112537/
One Hit from Home	2012	Johnny Meier, David Aaron Stone	3.7		http://www.imdb.com/title/tt1422916/
Chasing 3000	2010	Gregory J. Lanesey	5.9		http://www.imdb.com/title/tt0483586/
Wiener Dog Nationals	2013	Kevan Peterson	4.9	82	http://www.imdb.com/title/tt1535975/
Wilma	1977	Bud Greenspan	5.8	100	http://www.imdb.com/title/tt0076923/
Isolated	2013	Justin Le Pera	6	85	http://www.imdb.com/title/tt1280010/
Miracle on Ice	1981	Steven Hilliard Stern	6.7	150	http://www.imdb.com/title/tt0082754/
Breakfast with Scot	2007	Laurie Lynd	6.5	90	http://www.imdb.com/title/tt0910847/
Beyond the Mat	2013	Van M. Pham			http://www.imdb.com/title/tt1207922/
Personal Best	1982	Robert Towne	6.2	124	http://www.imdb.com/title/tt0084489/
Alley Cats Strike	2000	Rod Daniel	6	103	http://www.imdb.com/title/tt0217990/
The Boy in Blue	1986	Charles Jarrott	5.3	100	http://www.imdb.com/title/tt0090769/
Breaking the Surface: The Greg Louganis Story	1997	Steven Hilliard Stern	5.9	95	http://www.imdb.com/title/tt0115750/
Hillsborough	1996	Charles McDougall	7.5	101	http://www.imdb.com/title/tt0116533/
Mike Bassett: England Manager	2001	Steve Barron	6.5	89	http://www.imdb.com/title/tt0282744/
Johnny Kapahala: Back on Board	2007	Eric Bross	5.6	90	http://www.imdb.com/title/tt0942378/
In God's Hands	1998	Zalman King	4.9	96	http://www.imdb.com/title/tt0140282/
Twenty Four Seven	1997	Shane Meadows	6.9	96	http://www.imdb.com/title/tt0120391/
Soccer Dog: The Movie	1999	Tony Giglio	2.6	98	http://www.imdb.com/title/tt0134969/
Spring Fever	1982	Joseph L. Scanlan	4.1	100	http://www.imdb.com/title/tt0084718/
On a Clear Day	2005	Gaby Dellal	6.8	98	http://www.imdb.com/title/tt0410400/
Just for Kicks	2003	Sydney J. Bartholomew Jr.	2.2	92	http://www.imdb.com/title/tt0308443/
Arena	1989	Peter Manoogian	4.9	115	http://www.imdb.com/title/tt0101366/
The Frontier Boys	2012	John Grooters	3.8	113	http://www.imdb.com/title/tt1613056/
Penitentiary	1979	Jamaa Fanaka	5.6	99	http://www.imdb.com/title/tt0079709/
The Match	1999	Mick Davis	6	95	http://www.imdb.com/title/tt0165384/
The Pistol: The Birth of a Legend	1991	Frank C. Schröder	6.8	90	http://www.imdb.com/title/tt0102674/
When Saturday Comes	1996	Maria Giese	5.9	98	http://www.imdb.com/title/tt0114917/
A Gentleman's Game	2002	J. Mills Goodloe	6.2	112	http://www.imdb.com/title/tt0260924/
Pucked	2006	Arthur Hiller	4	83	http://www.imdb.com/title/tt0407038/
Maximum Thrust	2003	Martin Sieracki	5.4	90	http://www.imdb.com/title/tt0339371/
3: The Dale Earnhardt Story	2004	Russell Mulcahy	6.6	92	http://www.imdb.com/title/tt0401088/
Crossing the Line	1990	David Leland	5.7	116	http://www.imdb.com/title/tt0099136/
Freestyle	2010	Kolton Lee	1.8		http://www.imdb.com/title/tt1381406/
Phar Lap	1983	Simon Wincer	7	107	http://www.imdb.com/title/tt0086102/
Tapped	2013	Allan Ungar		105	http://www.imdb.com/title/tt2361184/
Snowboard Academy	1996	John Shepphird	2.2	88	http://www.imdb.com/title/tt0117676/
Australian Rules	2002	Paul Goldman	7	95	http://www.imdb.com/title/tt0285006/
Wondrous Oblivion	2003	Paul Morrison	6.9	106	http://www.imdb.com/title/tt0334725/
American Kickboxer	1991	Frans Nel	3.1	92	http://www.imdb.com/title/tt0101325/
Gridiron UK	2013	Gary Delaney		99	http://www.imdb.com/title/tt2361150/
The Minis	2007	Valerio Zanoli	3		http://www.imdb.com/title/tt1009017/
Heart Like a Wheel	1983	Jonathan Kaplan	6.5	113	http://www.imdb.com/title/tt0085656/
The Jericho Mile	1979	Michael Mann	7.3	97	http://www.imdb.com/title/tt0079366/
A Child's Wish	1997	Waris Hussein	6.2	96	http://www.imdb.com/title/tt0118846/
American Pastime	2007	Desmond Nakano	6.4	105	http://www.imdb.com/title/tt0825225/
Joe and Max	2002	Steve James	6.6	106	http://www.imdb.com/title/tt0281938/
The Fish That Saved Pittsburgh	1979	Gilbert Moses	4.6	102	http://www.imdb.com/title/tt0079154/
Silver Dream Racer	1980	David Wickes	4.6	111	http://www.imdb.com/title/tt0081517/
Long Gone	1987	Martin Davidson	7.3	110	http://www.imdb.com/title/tt0093433/
Extreme Days	2001	Eric Hannah	5.2	93	http://www.imdb.com/title/tt0245891/
Mickey	2004	Hugh Wilson	6.5	105	http://www.imdb.com/title/tt0277895/
Animalympics	1980	Steven Lisberger	6.2	78	http://www.imdb.com/title/tt0078780/
Puck Hogs	2009	Warren P. Sonoda	3.5	90	http://www.imdb.com/title/tt1249307/
The King of the Kickboxers	1990	Lucas Lowe	5.1	99	http://www.imdb.com/title/tt0102217/
Flying	1986	Paul Lynch	5.1		http://www.imdb.com/title/tt0091065/
Running	1979	Steven Hilliard Stern	5.4	102	http://www.imdb.com/title/tt0079832/
Fast Girl	2008	Daniel Zirilli	4.1	95	http://www.imdb.com/title/tt0915458/
Muay Thai Giant	2008		5.4		http://www.imdb.com/title/tt1251761/
Nadia	1984	Alan Cooke	6.9	100	http://www.imdb.com/title/tt0087774/
Quarterback Princess	1983	Noel Black	6	96	http://www.imdb.com/title/tt0086161/
The Blue Yonder	1985	Mark Rosman	6.6	92	http://www.imdb.com/title/tt0088831/
Streetballers	2009	Matt Krentz	4.4		http://www.imdb.com/title/tt0847221/
Bloodfist	1989	Terence H. Winkless	3.9	85	http://www.imdb.com/title/tt0096952/
Tough Enough	1983	Richard O. Fleischer	5.2	106	http://www.imdb.com/title/tt0086461/
Amazing Grace and Chuck	1987	Mike Newell	5.5	114	http://www.imdb.com/title/tt0092545/
Rocky Marciano	1999	Charles Winkler	6.4	99	http://www.imdb.com/title/tt0183718/
My Brother's Keeper	2004	Jordan Barker	5.5	96	http://www.imdb.com/title/tt0376784/
The Adventure Scouts	2010	Jim Fitzpatrick	6.8	83	http://www.imdb.com/title/tt0994917/
The Swinging Cheerleaders	1974	Jack Hill	4.9	91	http://www.imdb.com/title/tt0072236/
Two Fists, One Heart	2008	Shawn Seet	5.7	105	http://www.imdb.com/title/tt1082881/
The Drifter	2009	Taylor Steele	6.8	60	http://www.imdb.com/title/tt1462768/
Dead Solid Perfect	1988	Bobby Roth	6.4	93	http://www.imdb.com/title/tt0094965/
KickOff	2010	Rikki Beadle-Blair	4.2	99	http://www.imdb.com/title/tt1450326/
Golf Digest U.S. Open Challenge	2009				http://www.imdb.com/title/tt1450323/
Running Brave	1983	D.S. Everett, Donald Shebib	6.5	106	http://www.imdb.com/title/tt0086220/
Miracle in Lane 2	2000	Greg Beeman	6.1	120	http://www.imdb.com/title/tt0218440/
Undefeated	2003	John Leguizamo	5.4	92	http://www.imdb.com/title/tt0327951/
Ruffian	2007	Yves Simoneau	6.6	85	http://www.imdb.com/title/tt0499558/
The Junction Boys	2002	Mike Robe	6.1	93	http://www.imdb.com/title/tt0338619/
Matilda	1978	Daniel Mann	3.1	105	http://www.imdb.com/title/tt0077917/
Coach	1978	Bud Townsend	4.5	100	http://www.imdb.com/title/tt0077351/
The Tiger Woods Story	1998	LeVar Burton	4.1	90	http://www.imdb.com/title/tt0153080/
Battle B-Boy	2012	Frank Lin	2.3	89	http://www.imdb.com/title/tt1947969/
Revenge of the Cheerleaders	1976	Richard Lerner	4.5	88	http://www.imdb.com/title/tt0075137/
Running on Empty	1982	John Clark	5.2	83	http://www.imdb.com/title/tt0084616/
El Mascarado Massacre	2006	Jesse Baget	4.5	75	http://www.imdb.com/title/tt0497477/
Shergar	1999	Dennis C. Lewiston	5.2	95	http://www.imdb.com/title/tt0121744/
Pastime	1990	Robin B. Armstrong	6.9	94	http://www.imdb.com/title/tt0105109/
Code Breakers	2005	Rod Holcomb	6.1	88	http://www.imdb.com/title/tt0463944/
Champions	1984	John Irvin	6.4	106	http://www.imdb.com/title/tt0085320/
Kevin of the North	2001	Bob Spiers	4.3	86	http://www.imdb.com/title/tt0251174/
Defying Gravity	1997	John Keitel	6.4	92	http://www.imdb.com/title/tt0156460/
Jocks	1986	Steve Carver	2.7	91	http://www.imdb.com/title/tt0093315/
Go Now	1995	Michael Winterbottom	7	81	http://www.imdb.com/title/tt0113184/
Endurance	1999	Leslie Woodhead, Bud Greenspan	6.1	83	http://www.imdb.com/title/tt0120659/
Body Slam	1986	Hal Needham	4.7	89	http://www.imdb.com/title/tt0092684/
Schizo	1976	Pete Walker	5.3	109	http://www.imdb.com/title/tt0076670/
Don King: Only in America	1997	John Herzfeld	7	121	http://www.imdb.com/title/tt0119838/
Dishdogz	2006	Mikey Hilb	5.2		http://www.imdb.com/title/tt0416688/
DGK: Parental Advisory	2012	Randal Kirk II	6.8		http://www.imdb.com/title/tt2557182/
Deathsport	1978	Allan Arkush, Henry Suso	3.3	82	http://www.imdb.com/title/tt0077414/
Fighting Tommy Riley	2004	Eddie O'Flaherty	6.5	109	http://www.imdb.com/title/tt0366444/
The Great American Girl Robbery	1979	Jeff Werner	2.6	87	http://www.imdb.com/title/tt0078960/
H2O Extreme	2009	Bill Scharpf	3.2	95	http://www.imdb.com/title/tt1135089/
Hometown Legend	2002	James Anderson	5.3	120	http://www.imdb.com/title/tt0260695/
Young Again	2013	Roger Lim		105	http://www.imdb.com/title/tt1303678/
Don't Go Breaking My Heart	1999	Willi Patterson	5.2	95	http://www.imdb.com/title/tt0120876/
True Blue	1996	Ferdinand Fairfax	6.1	118	http://www.imdb.com/title/tt0117973/
By the Sword	1991	Jeremy Paul Kagan	6.1	91	http://www.imdb.com/title/tt0101524/
Angels in the Endzone	1997	Gary Nadeau	4.7	88	http://www.imdb.com/title/tt0118618/
The Sensei	2008	D. Lee Inosanto	6.6	103	http://www.imdb.com/title/tt0454941/
Ernest Goes to School	1994	Coke Sams	4.2	89	http://www.imdb.com/title/tt0109739/
The Terry Fox Story	1983	Ralph L. Thomas	6.8	97	http://www.imdb.com/title/tt0086427/
The Garbage Picking Field Goal Kicking Philadelphia Phenomenon	1998	Tim Kelleher	4.8	78	http://www.imdb.com/title/tt0142306/
Michael Jordan: An American Hero	1999	Alan Metzger	4.5		http://www.imdb.com/title/tt0196751/
Chasing the Green	2009	Russ Emanuel	4.4	102	http://www.imdb.com/title/tt1090312/
The Circuit	2008	Peter Werner	5	88	http://www.imdb.com/title/tt1071780/
Penitentiary III	1987	Jamaa Fanaka	2.7	91	http://www.imdb.com/title/tt0093714/
The Club	1980	Bruce Beresford	6.6	96	http://www.imdb.com/title/tt0080546/
Ring of Fire	1991	Richard W. Munchkin, Rick Jacobson	4.1	100	http://www.imdb.com/title/tt0102793/
Footy Legends	2006	Khoa Do	5.6	90	http://www.imdb.com/title/tt0477647/
9-Ball	2012	Anthony Palma	3.9	85	http://www.imdb.com/title/tt1934166/
Playoff	2011	Eran Riklis	5.2	107	http://www.imdb.com/title/tt1632722/
Ronnie & Julie	1997	Philip Spink	6	99	http://www.imdb.com/title/tt0117510/
Maggie and Annie	2002	Kimberly K. Wilson	4.3	105	http://www.imdb.com/title/tt0426089/
21 Hours at Munich	1976	William A. Graham	6.2	101	http://www.imdb.com/title/tt0074085/
Life of the Party	2005	Barra Grant	5.4		http://www.imdb.com/title/tt0382717/
Cooperstown	1993	Charles Haid	6.2		http://www.imdb.com/title/tt0106612/
Second String	2002	Robert Lieberman	5.7	100	http://www.imdb.com/title/tt0194342/
Point of Entry	2007	Stephen Bridgewater	5	90	http://www.imdb.com/title/tt1034405/
A Little Inside	1999	Kara Harshbarger	5.8	95	http://www.imdb.com/title/tt0256150/
Soccer Dog: European Cup	2004	Sandy Tung	3.4	88	http://www.imdb.com/title/tt0365770/
Among Dead Men	2008	James Richards	4.3	94	http://www.imdb.com/title/tt1318819/
The Loneliest Runner	1976	Michael Landon	6.9	74	http://www.imdb.com/title/tt0074814/
Progressive Skating & Gymnastics Spectacular	2013				http://www.imdb.com/title/tt2411150/
Winners Take All	1987	Fritz Kiersch	6.3	102	http://www.imdb.com/title/tt0092222/
Hustle	2004	Peter Bogdanovich	4.2		http://www.imdb.com/title/tt0405980/
Slammed	2004	Brian Thomas Jones	3.8	99	http://www.imdb.com/title/tt0308905/
Goldengirl	1979	Joseph Sargent	4.3	104	http://www.imdb.com/title/tt0079225/
Players	1979	Anthony Harvey	3.9	120	http://www.imdb.com/title/tt0079723/
Fast Break	1979	Jack Smight	5.6	107	http://www.imdb.com/title/tt0079136/
The Bear	1984	Richard C. Sarafian	5.8	110	http://www.imdb.com/title/tt0086945/
X Games 3D: The Movie	2009	Steve Lawrence	5.7	92	http://www.imdb.com/title/tt1440770/
The Yankles	2009	David R. Brooks	4	115	http://www.imdb.com/title/tt1326277/
Chasing a Dream	2009	David Burton Morris	6.2	120	http://www.imdb.com/title/tt1264894/
Minor League: A Football Story	2010	Clenet Verdi-Rose	5		http://www.imdb.com/title/tt1416341/
Tennis, Anyone...?	2005	Donal Logue	5.4		http://www.imdb.com/title/tt0413356/
Casey's Shadow	1978	Martin Ritt	5.9	117	http://www.imdb.com/title/tt0077303/
Monday Night Mayhem	2002	Ernest R. Dickerson	6.7	98	http://www.imdb.com/title/tt0268466/
Touch and Go	1986	Robert Mandel	5.6	101	http://www.imdb.com/title/tt0092104/
Chicks with Sticks	2004	Kari Skogland	4.8	86	http://www.imdb.com/title/tt0387114/
Bloodfist II	1990	Andy Blumenthal	3.7	85	http://www.imdb.com/title/tt0099155/
The Ride	1997	Michael O. Sajbel	6.3	101	http://www.imdb.com/title/tt0127247/
Babe	1975	Buzz Kulik	7	106	http://www.imdb.com/title/tt0072677/
The Hopeful	2011	Brendan Kirsch	6.2	90	http://www.imdb.com/title/tt1461432/
Trapped in a Purple Haze	2000	Eric Laneuville	6.8	120	http://www.imdb.com/title/tt0200992/
Passing Glory	1999	Steve James	6.5	100	http://www.imdb.com/title/tt0178821/
Screwball: The Ted Whitfield Story	2010	Tommy Reid	4.9	90	http://www.imdb.com/title/tt1262978/
Hansie: A True Story	2008	Regardt van den Bergh	4.1		http://www.imdb.com/title/tt1099200/
Dummy Hoy: A Deaf Hero	2007	David Risotto	6.2	50	http://www.imdb.com/title/tt1027039/
Hockey Night	1984	Paul Shapiro	6.9	74	http://www.imdb.com/title/tt0087416/
Kickboxing Academy	1997	Richard Gabai	2	84	http://www.imdb.com/title/tt0119456/
The Stranger I Married	2005	Helen Shaver	5.7	90	http://www.imdb.com/title/tt0465535/
A Season on the Brink	2002	Robert Mandel	5.1	87	http://www.imdb.com/title/tt0296185/
Talent for the Game	1991	Robert M. Young	5.7	91	http://www.imdb.com/title/tt0103036/
Victory	2009	Ajit Pal Mangat	4.1		http://www.imdb.com/title/tt1170411/
A Triumph of the Heart: The Ricky Bell Story	1991	Richard Michaels	7.2	100	http://www.imdb.com/title/tt0103123/
Carman: The Champion	2001	Lee Stanley	5	82	http://www.imdb.com/title/tt0262462/
Up 'n' Under	1998	John Godber	5.2	99	http://www.imdb.com/title/tt0120422/
The Independents	2013	Charlie Anderson			http://www.imdb.com/title/tt2243593/
Take Down	1979	Kieth Merrill	6.1	107	http://www.imdb.com/title/tt0078358/
Ice Angel	2000	George Erschbamer	5.7		http://www.imdb.com/title/tt0211426/
Four Minutes	2005	Charles Beeson	6.6		http://www.imdb.com/title/tt0457350/
Church Ball	2006	Kurt Hale	3.9	91	http://www.imdb.com/title/tt0457303/
Duel of Legends	2013	Hector Echavarria			http://www.imdb.com/title/tt0849437/
White Air	2007	U. Wolfgang Wagenknecht	3.8	81	http://www.imdb.com/title/tt0462611/
Beyond the Ring	2008	Gerson Sanginitto	3.5	86	http://www.imdb.com/title/tt0910993/
Foolin' Around	1980	Richard T. Heffron	5.5	111	http://www.imdb.com/title/tt0080750/
The Fastest Man Who Has Ever Lived	2010		5.9	60	http://www.imdb.com/title/tt1654752/
Wait Until Spring, Bandini	1989	Dominique Deruddere	6	100	http://www.imdb.com/title/tt0098615/
Offside	2006	Mårten Klingberg	5.8	103	http://www.imdb.com/title/tt0774755/
They Call Me Sirr	2001	Robert Munic	5.5		http://www.imdb.com/title/tt0256394/
Training Day	2010	Florence Vinger		6	http://www.imdb.com/title/tt1762377/
The Sheldon Kennedy Story	1999	Norma Bailey	5.5		http://www.imdb.com/title/tt0192598/
Bad As I Wanna Be: The Dennis Rodman Story	1998	Jean de Segonzac	4.3	120	http://www.imdb.com/title/tt0140829/
The Long Run	2001	Jean Stewart	5.4	112	http://www.imdb.com/title/tt0218411/
Something for Joey	1977	Lou Antonio	7.3	96	http://www.imdb.com/title/tt0076738/
Gibsonburg	2013	Jonathon Kimble, Bob Mahaffey	2.5	90	http://www.imdb.com/title/tt2345555/
Hattrick	2007	Milan Luthria	4	110	http://www.imdb.com/title/tt0979891/
Canada Russia '72	2006	T.W. Peacocke	7.3	180	http://www.imdb.com/title/tt0484098/
When Billie Beat Bobby	2001	Jane Anderson	6	90	http://www.imdb.com/title/tt0258446/
Sportkill	2007	Craig McMahon	3.9		http://www.imdb.com/title/tt0491166/
Don't Look Back: The Story of Leroy 'Satchel' Paige	1981	Richard A. Colla	6.9	98	http://www.imdb.com/title/tt0082277/
My Brother... Nikhil	2005	Onir	7	120	http://www.imdb.com/title/tt0419992/
Prep School	2013	Sean Nichols Lynch			http://www.imdb.com/title/tt2577668/
All in the Game	2006	Jim O'Hanlon	6.4	120	http://www.imdb.com/title/tt0757148/
On Edge	2001	Karl Slovin	5.1	93	http://www.imdb.com/title/tt0206184/
Little Girls in Pretty Boxes	1997	Christopher Leitch	5.7	96	http://www.imdb.com/title/tt0119551/
Sweet Lorraine	2013	Christopher C. Frieri			http://www.imdb.com/title/tt1527837/
Tiger Town	1983	Alan Shapiro	6.5	95	http://www.imdb.com/title/tt0086439/
A Mother's Courage: The Mary Thomas Story	1989	John Patterson	6.6	100	http://www.imdb.com/title/tt0097915/
Road to Victory	2007	Mike Reilly	5.2	99	http://www.imdb.com/title/tt0982922/
Blood Sport	1973	Jerrold Freedman	6.1	90	http://www.imdb.com/title/tt0069804/
The Break	1995	Lee H. Katzin	4.9	104	http://www.imdb.com/title/tt0112574/
The Deadliest Season	1977	Robert Markowitz	6.8	98	http://www.imdb.com/title/tt0075918/
Skateboard	1978	George Gage	5.2	97	http://www.imdb.com/title/tt0076721/
Ring of Fire II: Blood and Steel	1993	Richard W. Munchkin	2.6	94	http://www.imdb.com/title/tt0107962/
The First of May	1999	Paul Sirmons	6.8	111	http://www.imdb.com/title/tt0132160/
Jaguar Lives!	1979	Ernest Pintoff	4	90	http://www.imdb.com/title/tt0079362/
Father and Scout	1994	Richard Michaels	4.9	92	http://www.imdb.com/title/tt0109778/
Victor	2008	Jerry Ciccoritti	5.8		http://www.imdb.com/title/tt0840024/
Ready to Run	2000	Duwayne Dunham	5.4	96	http://www.imdb.com/title/tt0253550/
A Love Affair: The Eleanor and Lou Gehrig Story	1978	Fielder Cook	6.6	96	http://www.imdb.com/title/tt0077870/
Blue Skies Again	1983	Richard Michaels	5	96	http://www.imdb.com/title/tt0085254/
Night of the Warrior	1991	Rafal Zielinski	2.6	99	http://www.imdb.com/title/tt0102535/
Below the Belt	1980	Robert Fowler	5.4	91	http://www.imdb.com/title/tt0080427/
Game Day	1999	Steve Klein	5.5	106	http://www.imdb.com/title/tt0146786/
Rough Hustle	2013	Delaney Dragon			http://www.imdb.com/title/tt1319734/
Spirit of Love: The Mike Glenn Story	2013	Darla Rae	2.5	118	http://www.imdb.com/title/tt2362354/
For the Glory	2012	Donald Leow	4.6	105	http://www.imdb.com/title/tt1832354/
Southside	2003	Billy Hayes	5.6	106	http://www.imdb.com/title/tt0271798/
The Comeback Kid	1980	Peter Levin	6.1	97	http://www.imdb.com/title/tt0083747/
See How She Runs	1978	Richard T. Heffron	5.6	96	http://www.imdb.com/title/tt0078221/
Frankie & Hazel	2000	JoBeth Williams	5.7	92	http://www.imdb.com/title/tt0217769/
Full Contact	1993	Rick Jacobson	5.6	96	http://www.imdb.com/title/tt0106979/
Possums	1998	J. Max Burnett	5.1	97	http://www.imdb.com/title/tt0145404/
Annie O	1996	J. Michael McClary	4.6	93	http://www.imdb.com/title/tt0115550/
Birdie and Bogey	2004	Mike Norris	6.2		http://www.imdb.com/title/tt0373726/
No Rules	2005	Gerry Anderson	5.5	96	http://www.imdb.com/title/tt0446010/
A Promise Kept: The Oksana Baiul Story	1994	Charles Jarrott	5.7	89	http://www.imdb.com/title/tt0110902/
Just Another Romantic Wrestling Comedy	2006	Kim Sky, Evan Seplow	1.6	105	http://www.imdb.com/title/tt0427415/
Royal Rumble	2000	Kevin Dunn	7.5	180	http://www.imdb.com/title/tt0261260/
Studs	2006	Paul Mercier	5.7	90	http://www.imdb.com/title/tt0452866/
Fatal Games	1984	Michael Elliot	4.6	88	http://www.imdb.com/title/tt0087243/
Diving In	1990	Strathford Hamilton	3.7	93	http://www.imdb.com/title/tt0101741/
Veer!	2012	P. Barry	6		http://www.imdb.com/title/tt1748280/
King Lines	2007	Josh Lowell, Peter Mortimer	7	60	http://www.imdb.com/title/tt1144805/
Body and Soul	2000	Sam Henry Kass	4	91	http://www.imdb.com/title/tt0159293/
The Loretta Claiborne Story	2000	Lee Grant	6.2	100	http://www.imdb.com/title/tt0232002/
Season of Miracles	2013	Dave Moody, Josh Moody			http://www.imdb.com/title/tt2173768/
The Four Minute Mile	1988	Jim Goddard	6.7		http://www.imdb.com/title/tt0095171/
Hope for the Broken Contender	2008	Chris Scheuerman	7.3	110	http://www.imdb.com/title/tt1006855/
The Cyclist	2012	John Lawrence	5.6	94	http://www.imdb.com/title/tt1705933/
Reggie's Prayer	1996	Paul McKellips	5.4	94	http://www.imdb.com/title/tt0117457/
The Harlem Globetrotters on Gilligan's Island	1981	Peter Baldwin	3.6	120	http://www.imdb.com/title/tt0082502/
Jumping for Joy	2002	Timothy J. Nelson	5.9	94	http://www.imdb.com/title/tt0251163/
Heroes of Dirt	2013	Eric Bugbee	4.6		http://www.imdb.com/title/tt1934172/
Big and Hairy	1998	Philip Spink	3.4	94	http://www.imdb.com/title/tt0134316/
Safari 3000	1982	Harry Hurwitz	4.3	92	http://www.imdb.com/title/tt0084625/
On the Edge	1986	Rob Nilsson	6.4	95	http://www.imdb.com/title/tt0091677/
Into the Mind	2013	Eric Crosland, Dave Mossop			http://www.imdb.com/title/tt2673812/
The Comrades of Summer	1992	Tommy Lee Wallace	5.4		http://www.imdb.com/title/tt0103997/
The Final Winter	2007	Brian Andrews, Jane Forrest	6.1		http://www.imdb.com/title/tt0938303/
Rose Against the Odds	1991	John Dixon	6.2		http://www.imdb.com/title/tt0114298/
Summer League	2013	Lex Lybrand	4.8	95	http://www.imdb.com/title/tt2585078/
Blue Moon Rising	2010	Stewart Sugg	5.3		http://www.imdb.com/title/tt1641390/
Strike Force	1975	Barry Shear	3.7	73	http://www.imdb.com/title/tt0073758/
Paperback Hero	1973	Peter Pearson	5.6	93	http://www.imdb.com/title/tt0071966/
Tetherball: The Movie	2010	Chris Nickin	3.8		http://www.imdb.com/title/tt1705787/
White Mile	1994	Robert Butler	6.2	96	http://www.imdb.com/title/tt0111704/
Down and Distance	2010	Brian J. De Palma	5.3		http://www.imdb.com/title/tt1058519/
