Title	Year	Directors	IMDb Rating	Runtime (mins)	URL
Rocky V	1990	John G. Avildsen	4.8	104	http://www.imdb.com/title/tt0100507/
Cool Runnings	1993	Jon Turteltaub	6.7	98	http://www.imdb.com/title/tt0106611/
Rudy	1993	David Anspaugh	7.4	114	http://www.imdb.com/title/tt0108002/
The Replacements	2000	Howard Deutch	6.3	118	http://www.imdb.com/title/tt0191397/
Bad News Bears	2005	Richard Linklater	5.8	113	http://www.imdb.com/title/tt0408524/
Gridiron Gang	2006	Phil Joanou	6.8	125	http://www.imdb.com/title/tt0421206/
Stick It	2006	Jessica Bendinger	6.1	103	http://www.imdb.com/title/tt0430634/
Run, Fatboy, Run	2007	David Schwimmer	6.6	100	http://www.imdb.com/title/tt0425413/
Fighting	2009	Dito Montiel	5.4	105	http://www.imdb.com/title/tt1082601/
Never Back Down 2: The Beatdown	2011	Michael Jai White	5.5	90	http://www.imdb.com/title/tt1754264/
Touchback	2011	Don Handfield	6	118	http://www.imdb.com/title/tt1628055/
Undisputed 3: Redemption	2010	Isaac Florentine	7.2	96	http://www.imdb.com/title/tt1156466/
Bloodsport	1988	Newt Arnold	6.5	92	http://www.imdb.com/title/tt0092675/
Back to School	1986	Alan Metter	6.3	96	http://www.imdb.com/title/tt0090685/
Hoosiers	1986	David Anspaugh	7.5	114	http://www.imdb.com/title/tt0091217/
Bull Durham	1988	Ron Shelton	7	108	http://www.imdb.com/title/tt0094812/
Seabiscuit	2003	Gary Ross	7.3	140	http://www.imdb.com/title/tt0329575/
Wimbledon	2004	Richard Loncraine	6.3	98	http://www.imdb.com/title/tt0360201/
Fever Pitch	2005	Bobby Farrelly, Peter Farrelly	6.1	104	http://www.imdb.com/title/tt0332047/
The Ringer	2005	Barry W. Blaustein	5.7	94	http://www.imdb.com/title/tt0267891/
Fearless	2006	Ronny Yu	7.6	104	http://www.imdb.com/title/tt0446059/
The Love Guru	2008	Marco Schnabel	3.8	87	http://www.imdb.com/title/tt0811138/
Undisputed II: Last Man Standing	2006	Isaac Florentine	6.8	98	http://www.imdb.com/title/tt0443676/
Slap Shot	1977	George Roy Hill	7.2	123	http://www.imdb.com/title/tt0076723/
The Karate Kid, Part II	1986	John G. Avildsen	5.6	113	http://www.imdb.com/title/tt0091326/
Above the Rim	1994	Jeff Pollack	6.2	96	http://www.imdb.com/title/tt0109035/
D2: The Mighty Ducks	1994	Sam Weisman	5.4	106	http://www.imdb.com/title/tt0109520/
Tin Cup	1996	Ron Shelton	6.2	135	http://www.imdb.com/title/tt0117918/
He Got Game	1998	Spike Lee	6.8	136	http://www.imdb.com/title/tt0124718/
BASEketball	1998	David Zucker	6.4	103	http://www.imdb.com/title/tt0131857/
Love & Basketball	2000	Gina Prince-Bythewood	6.8	124	http://www.imdb.com/title/tt0199725/
Blue Crush	2002	John Stockwell	5.5	104	http://www.imdb.com/title/tt0300532/
Kicking & Screaming	2005	Jesse Dylan	5.4	95	http://www.imdb.com/title/tt0384642/
Goal! The Dream Begins	2005	Danny Cannon	6.7	118	http://www.imdb.com/title/tt0380389/
Redbelt	2008	David Mamet	6.8	99	http://www.imdb.com/title/tt1012804/
The World's Fastest Indian	2005	Roger Donaldson	7.8	127	http://www.imdb.com/title/tt0412080/
Peaceful Warrior	2006	Victor Salva	7	120	http://www.imdb.com/title/tt0438315/
The Color of Money	1986	Martin Scorsese	6.9	119	http://www.imdb.com/title/tt0090863/
Angels in the Outfield	1994	William Dear	5.7	102	http://www.imdb.com/title/tt0109127/
Driven	2001	Renny Harlin	4.3	116	http://www.imdb.com/title/tt0132245/
Out Cold	2001	The Malloys, The Malloys	6	89	http://www.imdb.com/title/tt0253798/
Undisputed	2002	Walter Hill	5.9	94	http://www.imdb.com/title/tt0281322/
Annapolis	2006	Justin Lin	5.4	108	http://www.imdb.com/title/tt0417433/
Chariots of Fire	1981	Hugh Hudson	7.2	124	http://www.imdb.com/title/tt0082158/
The Karate Kid, Part III	1989	John G. Avildsen	4.6	112	http://www.imdb.com/title/tt0097647/
Kickboxer	1989	Mark DiSalle, David Worth	5.9	97	http://www.imdb.com/title/tt0097659/
Lionheart	1990	Sheldon Lettich	5.7	105	http://www.imdb.com/title/tt0100029/
Alive	1993	Frank Marshall	6.9	120	http://www.imdb.com/title/tt0106246/
For Love of the Game	1999	Sam Raimi	6.3	137	http://www.imdb.com/title/tt0126916/
Like Mike	2002	John Schultz	4.6	99	http://www.imdb.com/title/tt0308506/
The Rookie	2002	John Lee Hancock	6.9	127	http://www.imdb.com/title/tt0265662/
Radio	2003	Michael Tollin	6.8	109	http://www.imdb.com/title/tt0316465/
Herbie Fully Loaded	2005	Angela Robinson	4.6	101	http://www.imdb.com/title/tt0400497/
Two for the Money	2005	D.J. Caruso	6.1	122	http://www.imdb.com/title/tt0417217/
Leatherheads	2008	George Clooney	6	114	http://www.imdb.com/title/tt0379865/
All Things Fall Apart	2011	Mario Van Peebles	4.8		http://www.imdb.com/title/tt1606390/
Facing the Giants	2006	Alex Kendrick	6.2	111	http://www.imdb.com/title/tt0805526/
The Longest Yard	1974	Robert Aldrich	7.1	121	http://www.imdb.com/title/tt0071771/
The Bad News Bears in Breaking Training	1977	Michael Pressman	5.1	100	http://www.imdb.com/title/tt0075718/
Vision Quest	1985	Harold Becker	6.2	105	http://www.imdb.com/title/tt0090270/
Little Giants	1994	Duwayne Dunham	6	107	http://www.imdb.com/title/tt0110364/
Major League II	1994	David S. Ward	5.2	105	http://www.imdb.com/title/tt0110442/
Ice Princess	2005	Tim Fywell	5.9	98	http://www.imdb.com/title/tt0396652/
Lucky You	2007	Curtis Hanson	5.8	124	http://www.imdb.com/title/tt0338216/
The Damned United	2009	Tom Hooper	7.5	98	http://www.imdb.com/title/tt1226271/
Shelter	2007	Jonah Markowitz	7.6	97	http://www.imdb.com/title/tt0942384/
Forever Strong	2008	Ryan Little	6.9	112	http://www.imdb.com/title/tt0840322/
Goal II: Living the Dream	2007	Jaume Collet-Serra	5.8	115	http://www.imdb.com/title/tt0473360/
Mean Machine	2001	Barry Skolnick	6.3	99	http://www.imdb.com/title/tt0291341/
Death Race 2000	1975	Paul Bartel	6.2	80	http://www.imdb.com/title/tt0072856/
Breaking Away	1979	Peter Yates	7.6	101	http://www.imdb.com/title/tt0078902/
3 Ninjas	1992	Jon Turteltaub	4.8	84	http://www.imdb.com/title/tt0103596/
The Cutting Edge	1992	Paul M. Glaser	6.6	101	http://www.imdb.com/title/tt0104040/
The Next Karate Kid	1994	Christopher Cain	4	107	http://www.imdb.com/title/tt0110657/
Higher Learning	1995	John Singleton	6.2	127	http://www.imdb.com/title/tt0113305/
D3: The Mighty Ducks	1996	Robert Lieberman	4.8	104	http://www.imdb.com/title/tt0116000/
The Fan	1996	Tony Scott	5.7	116	http://www.imdb.com/title/tt0116277/
Rollerball	2002	John McTiernan	2.9	98	http://www.imdb.com/title/tt0246894/
Grind	2003	Casey La Scala	5.5	105	http://www.imdb.com/title/tt0338077/
The Comebacks	2007	Tom Brady	3.9	84	http://www.imdb.com/title/tt0790804/
