Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
28 Weeks Later	horror, sci_fi, thriller	2007	Juan Carlos Fresnadillo	7	100	http://www.imdb.com/title/tt0463854/
Sweeney Todd: The Demon Barber of Fleet Street	drama, horror, musical, thriller	2007	Tim Burton	7.5	116	http://www.imdb.com/title/tt0408236/
Paranormal Activity	horror, mystery	2007	Oren Peli	6.4	86	http://www.imdb.com/title/tt1179904/
The Haunting in Connecticut	drama, horror, thriller	2009	Peter Cornwell	5.8	92	http://www.imdb.com/title/tt0492044/
Pandorum	action, horror, sci_fi, thriller	2009	Christian Alvart	6.7	108	http://www.imdb.com/title/tt1188729/
Piranha	comedy, horror	2010	Alexandre Aja	5.7	88	http://www.imdb.com/title/tt0464154/
Resident Evil: Afterlife	action, adventure, horror, sci_fi	2010	Paul W.S. Anderson	5.8	97	http://www.imdb.com/title/tt1220634/
Priest	action, horror, sci_fi, thriller	2011	Scott Stewart	5.7	87	http://www.imdb.com/title/tt0822847/
The Darkest Hour	action, horror, sci_fi, thriller	2011	Chris Gorak	4.9	89	http://www.imdb.com/title/tt1093357/
Fright Night	comedy, horror	2011	Craig Gillespie	6.4	106	http://www.imdb.com/title/tt1438176/
The Thing	horror, mystery, sci_fi, thriller	2011	Matthijs van Heijningen	6.2	103	http://www.imdb.com/title/tt0905372/
Piranha 3DD	comedy, horror, thriller	2012	John Gulager	3.9	83	http://www.imdb.com/title/tt1714203/
The Bay	horror, sci_fi, thriller	2012	Barry Levinson	5.5	84	http://www.imdb.com/title/tt1713476/
Dead Before Dawn 3D	adventure, comedy, horror	2012	April Mullen	4.1	88	http://www.imdb.com/title/tt1989485/
Wrong Turn 5: Bloodlines	horror, thriller	2012	Declan O'Brien	3.9	87	http://www.imdb.com/title/tt2375779/
Tucker and Dale vs Evil	comedy, horror	2010	Eli Craig	7.6	89	http://www.imdb.com/title/tt1465522/
Antichrist	drama, horror	2009	Lars von Trier	6.5	108	http://www.imdb.com/title/tt0870984/
Blade	action, fantasy, horror	1998	Stephen Norrington	7	120	http://www.imdb.com/title/tt0120611/
Sleepy Hollow	adventure, mystery	1999	Tim Burton	7.5	105	http://www.imdb.com/title/tt0162661/
Resident Evil: Apocalypse	action, horror, sci_fi, thriller	2004	Alexander Witt	6	94	http://www.imdb.com/title/tt0318627/
The Hills Have Eyes	horror, thriller	2006	Alexandre Aja	6.4	107	http://www.imdb.com/title/tt0454841/
1408	horror, mystery	2007	Mikael Håfström	6.8	104	http://www.imdb.com/title/tt0450385/
The Collector	crime, horror, thriller	2009	Marcus Dunstan	6.3	90	http://www.imdb.com/title/tt0844479/
Drag Me to Hell	horror, thriller	2009	Sam Raimi	6.7	99	http://www.imdb.com/title/tt1127180/
Jennifer's Body	comedy, horror	2009	Karyn Kusama	5.1	102	http://www.imdb.com/title/tt1131734/
The Uninvited	drama, horror, mystery, thriller	2009	The Guard Brothers, The Guard Brothers	6.2	87	http://www.imdb.com/title/tt0815245/
Legion	action, fantasy, horror	2010	Scott Stewart	5.1	100	http://www.imdb.com/title/tt1038686/
Let Me In	drama, horror, mystery	2010	Matt Reeves	7.2	116	http://www.imdb.com/title/tt1228987/
A Nightmare on Elm Street	horror, mystery, thriller	2010	Samuel Bayer	5.1	95	http://www.imdb.com/title/tt1179056/
Final Destination 5	horror, mystery	2011	Steven Quale	5.8	92	http://www.imdb.com/title/tt1622979/
The Apparition	horror, thriller	2012	Todd Lincoln	4	82	http://www.imdb.com/title/tt1433822/
The Innkeepers	horror, thriller	2011	Ti West	5.5	101	http://www.imdb.com/title/tt1594562/
Wrong Turn 4: Bloody Beginnings	horror, thriller	2011	Declan O'Brien	4.3	93	http://www.imdb.com/title/tt1865567/
I Spit on Your Grave	crime, horror, thriller	2010	Steven R. Monroe	6.2	108	http://www.imdb.com/title/tt1242432/
Planet Terror	action, horror, sci_fi	2007	Robert Rodriguez	7.3	105	http://www.imdb.com/title/tt1077258/
A Nightmare on Elm Street	horror	1984	Wes Craven	7.5	91	http://www.imdb.com/title/tt0087800/
Resident Evil: Afterbirth	action, horror, sci_fi	2014	Paul W.S. Anderson		140	http://www.imdb.com/title/tt2592614/
Gremlins	comedy, horror	1984	Joe Dante	7.2	106	http://www.imdb.com/title/tt0087363/
Psycho	horror, mystery, thriller	1998	Gus Van Sant	4.6	105	http://www.imdb.com/title/tt0155975/
Final Destination	horror, mystery	2000	James Wong	6.7	98	http://www.imdb.com/title/tt0195714/
The Others	drama, horror, mystery, thriller	2001	Alejandro Amenábar	7.6	101	http://www.imdb.com/title/tt0230600/
Blade II	action, horror, sci_fi, thriller	2002	Guillermo del Toro	6.6	117	http://www.imdb.com/title/tt0187738/
The Texas Chainsaw Massacre	horror	2003	Marcus Nispel	6.1	98	http://www.imdb.com/title/tt0324216/
Blade: Trinity	action, adventure, fantasy, horror, sci_fi, thriller	2004	David S. Goyer	5.8	113	http://www.imdb.com/title/tt0359013/
House of Wax	horror, thriller	2005	Jaume Collet-Serra	5.2	113	http://www.imdb.com/title/tt0397065/
The Devil's Rejects	horror	2005	Rob Zombie	6.8	107	http://www.imdb.com/title/tt0395584/
Hostel	horror	2005	Eli Roth	5.8	94	http://www.imdb.com/title/tt0450278/
30 Days of Night	horror, thriller	2007	David Slade	6.6	113	http://www.imdb.com/title/tt0389722/
Grindhouse	action, horror, thriller	2007	Robert Rodriguez, Eli Roth	7.7	191	http://www.imdb.com/title/tt0462322/
Resident Evil: Extinction	action, horror, sci_fi, thriller	2007	Russell Mulcahy	6.2	94	http://www.imdb.com/title/tt0432021/
The Strangers	horror, mystery, thriller	2008	Bryan Bertino	6.1	86	http://www.imdb.com/title/tt0482606/
Daybreakers	action, drama, horror, sci_fi, thriller	2009	The Spierig Brothers, The Spierig Brothers	6.5	98	http://www.imdb.com/title/tt0433362/
The Crazies	horror, mystery, thriller	2010	Breck Eisner	6.6	101	http://www.imdb.com/title/tt0455407/
Devil	horror, mystery, thriller	2010	John Erick Dowdle	6.3	80	http://www.imdb.com/title/tt1314655/
Maniac	horror, thriller	2012	Franck Khalfoun	6.2	89	http://www.imdb.com/title/tt2103217/
The ABCs of Death	horror	2012	Kaare Andrews, Angela Bettis	4.9	123	http://www.imdb.com/title/tt1935896/
Vamps	comedy, horror, romance	2012	Amy Heckerling	4.9	92	http://www.imdb.com/title/tt1545106/
The Pact	horror, mystery, thriller	2012	Nicholas McCarthy	5.7	89	http://www.imdb.com/title/tt2040560/
Grave Encounters 2	horror	2012	John Poliquin	5	95	http://www.imdb.com/title/tt2231554/
Red State	action, horror, thriller	2011	Kevin Smith	6.2	88	http://www.imdb.com/title/tt0873886/
The Human Centipede (First Sequence)	horror	2009	Tom Six	4.6	92	http://www.imdb.com/title/tt1467304/
Tremors	comedy, horror, sci_fi	1990	Ron Underwood	7.1	96	http://www.imdb.com/title/tt0100814/
I Know What You Did Last Summer	horror, mystery, thriller	1997	Jim Gillespie	5.5	100	http://www.imdb.com/title/tt0119345/
House of 1000 Corpses	horror	2003	Rob Zombie	5.8	89	http://www.imdb.com/title/tt0251736/
The Grudge	horror, mystery	2004	Takashi Shimizu	5.8	92	http://www.imdb.com/title/tt0391198/
Saw II	horror	2005	Darren Lynn Bousman	6.5	93	http://www.imdb.com/title/tt0432348/
The Covenant	action, fantasy, horror, thriller	2006	Renny Harlin	5	97	http://www.imdb.com/title/tt0475944/
Halloween	horror	2007	Rob Zombie	6	109	http://www.imdb.com/title/tt0373883/
Friday the 13th	horror	2009	Marcus Nispel	5.5	97	http://www.imdb.com/title/tt0758746/
The Unborn	horror, mystery, thriller	2009	David S. Goyer	4.6	88	http://www.imdb.com/title/tt1139668/
Case 39	horror, mystery, thriller	2009	Christian Alvart	6.1	109	http://www.imdb.com/title/tt0795351/
The Last Exorcism	drama, horror, thriller	2010	Daniel Stamm	5.6	87	http://www.imdb.com/title/tt1320244/
Paranormal Activity 2	horror	2010	Tod Williams	5.7	91	http://www.imdb.com/title/tt1536044/
Splice	horror, sci_fi	2009	Vincenzo Natali	5.9	104	http://www.imdb.com/title/tt1017460/
The Wolfman	drama, horror, thriller	2010	Joe Johnston	5.8	103	http://www.imdb.com/title/tt0780653/
The Rite	drama, horror, thriller	2011	Mikael Håfström	5.9	114	http://www.imdb.com/title/tt1161864/
The Roommate	drama, horror, thriller	2011	Christian E. Christiansen	4.6	91	http://www.imdb.com/title/tt1265990/
Apollo 18	horror, sci_fi, thriller	2011	Gonzalo López-Gallego	5.2	86	http://www.imdb.com/title/tt1772240/
Excision	comedy, drama, horror	2012	Richard Bates Jr.	6	81	http://www.imdb.com/title/tt1984153/
Cockneys vs Zombies	comedy, horror	2012	Matthias Hoene	5.9	88	http://www.imdb.com/title/tt1362058/
Stitches	comedy, horror	2012	Conor McMahon	5.6	86	http://www.imdb.com/title/tt2126362/
Chained	horror, thriller	2012	Jennifer Lynch	6.2	94	http://www.imdb.com/title/tt1989475/
Intruders	horror, thriller	2011	Juan Carlos Fresnadillo	5.3	100	http://www.imdb.com/title/tt1634121/
The Ward	horror, thriller	2010	John Carpenter	5.5	88	http://www.imdb.com/title/tt1369706/
6 Souls	horror, mystery, thriller	2010	Mårlind & Stein, Mårlind & Stein	6	112	http://www.imdb.com/title/tt1179069/
The Loved Ones	crime, drama, horror, thriller	2009	Sean Byrne	6.6	84	http://www.imdb.com/title/tt1316536/
Cube	horror, mystery, sci_fi, thriller	1997	Vincenzo Natali	7.4	90	http://www.imdb.com/title/tt0123755/
Halloween	horror, thriller	1978	John Carpenter	7.9	91	http://www.imdb.com/title/tt0077651/
The Fly	horror, sci_fi	1986	David Cronenberg	7.5	96	http://www.imdb.com/title/tt0091064/
They Live	action, horror, sci_fi, thriller	1988	John Carpenter	7.1	93	http://www.imdb.com/title/tt0096256/
Hocus Pocus	comedy, family, fantasy, horror	1993	Kenny Ortega	6.2	96	http://www.imdb.com/title/tt0107120/
The Frighteners	comedy, fantasy, horror	1996	Peter Jackson	7.1	110	http://www.imdb.com/title/tt0116365/
Scream 2	horror, mystery	1997	Wes Craven	6	120	http://www.imdb.com/title/tt0120082/
The 13th Warrior	action, adventure, fantasy, horror, mystery, thriller	1999	John McTiernan	6.4	102	http://www.imdb.com/title/tt0120657/
Scream 3	horror, mystery	2000	Wes Craven	5.4	116	http://www.imdb.com/title/tt0134084/
From Hell	crime, horror, mystery, thriller	2001	The Hughes Brothers, The Hughes Brothers	6.8	122	http://www.imdb.com/title/tt0120681/
Freddy vs. Jason	action, crime, horror, thriller	2003	Ronny Yu	5.7	97	http://www.imdb.com/title/tt0329101/
Doom	action, adventure, horror, sci_fi, thriller	2005	Andrzej Bartkowiak	5.1	100	http://www.imdb.com/title/tt0419706/
The Exorcism of Emily Rose	crime, drama, horror, thriller	2005	Scott Derrickson	6.7	119	http://www.imdb.com/title/tt0404032/
Final Destination 3	horror, mystery	2006	James Wong	5.7	93	http://www.imdb.com/title/tt0414982/
Saw III	crime, horror, thriller	2006	Darren Lynn Bousman	6.1	108	http://www.imdb.com/title/tt0489270/
Slither	comedy, horror, sci_fi	2006	James Gunn	6.5	95	http://www.imdb.com/title/tt0439815/
Aliens vs. Predator: Requiem	action, horror, sci_fi, thriller	2007	The Brothers Strause, The Brothers Strause	4.7	94	http://www.imdb.com/title/tt0758730/
Mirrors	horror, mystery, thriller	2008	Alexandre Aja	6	110	http://www.imdb.com/title/tt0790686/
Saw V	crime, horror, thriller	2008	David Hackl	5.6	92	http://www.imdb.com/title/tt1132626/
The Final Destination	horror, mystery	2009	David R. Ellis	5	82	http://www.imdb.com/title/tt1144884/
My Bloody Valentine	horror, thriller	2009	Patrick Lussier	5.4	101	http://www.imdb.com/title/tt1179891/
Saw 3D: The Final Chapter	crime, horror	2010	Kevin Greutert	5.5	90	http://www.imdb.com/title/tt1477076/
Don't Be Afraid of the Dark	horror, thriller	2010	Troy Nixey	5.6	99	http://www.imdb.com/title/tt1270761/
Citadel	drama, horror, thriller	2012	Ciaran Foy	5.3	84	http://www.imdb.com/title/tt1641975/
Stake Land	drama, horror, sci_fi	2010	Jim Mickle	6.5	98	http://www.imdb.com/title/tt1464580/
Spawn	action, fantasy, horror, thriller	1997	Mark A.Z. Dippé	5.1	96	http://www.imdb.com/title/tt0120177/
The Faculty	horror, mystery, sci_fi, thriller	1998	Robert Rodriguez	6.3	104	http://www.imdb.com/title/tt0133751/
Ghost Ship	horror, mystery, thriller	2002	Steve Beck	5.3	91	http://www.imdb.com/title/tt0288477/
Final Destination 2	horror, mystery	2003	David R. Ellis	6.2	90	http://www.imdb.com/title/tt0309593/
Dead Silence	horror, mystery, thriller	2007	James Wan	6	89	http://www.imdb.com/title/tt0455760/
The Hills Have Eyes II	horror, thriller	2007	Martin Weisz	5	89	http://www.imdb.com/title/tt0800069/
Hostel: Part II	horror	2007	Eli Roth	5.4	93	http://www.imdb.com/title/tt0498353/
Saw IV	crime, horror, thriller	2007	Darren Lynn Bousman	5.8	93	http://www.imdb.com/title/tt0890870/
Quarantine	horror, sci_fi, thriller	2008	John Erick Dowdle	6	89	http://www.imdb.com/title/tt1082868/
The Ruins	horror, thriller	2008	Carter Smith	5.8	90	http://www.imdb.com/title/tt0963794/
Halloween II	horror	2009	Rob Zombie	4.8	105	http://www.imdb.com/title/tt1311067/
Silent House	drama, horror, thriller	2011	Chris Kentis, Laura Lau	5.2	86	http://www.imdb.com/title/tt1767382/
Bait	action, horror, sci_fi, thriller	2012	Kimble Rendall	5.2	93	http://www.imdb.com/title/tt1438173/
The Day	drama, horror, sci_fi, thriller	2011	Douglas Aarniokoski	5.2	87	http://www.imdb.com/title/tt1756799/
The Human Centipede II (Full Sequence)	horror	2011	Tom Six	4	88	http://www.imdb.com/title/tt1530509/
The Girl Next Door	crime, drama, horror, thriller	2007	Gregory M. Wilson	6.7	91	http://www.imdb.com/title/tt0830558/
The Texas Chain Saw Massacre	horror	1974	Tobe Hooper	7.5	83	http://www.imdb.com/title/tt0072271/
The Omen	horror, mystery	1976	Richard Donner	7.6	111	http://www.imdb.com/title/tt0075005/
Friday the 13th	horror	1980	Sean S. Cunningham	6.4	95	http://www.imdb.com/title/tt0080761/
Pet Sematary	horror	1989	Mary Lambert	6.4	103	http://www.imdb.com/title/tt0098084/
Jacob's Ladder	drama, horror, mystery	1990	Adrian Lyne	7.5	113	http://www.imdb.com/title/tt0099871/
The Craft	drama, fantasy, horror, thriller	1996	Andrew Fleming	6	101	http://www.imdb.com/title/tt0115963/
What Lies Beneath	drama, horror, mystery, thriller	2000	Robert Zemeckis	6.5	130	http://www.imdb.com/title/tt0161081/
Dreamcatcher	drama, horror, sci_fi, thriller	2003	Lawrence Kasdan	5.4	136	http://www.imdb.com/title/tt0285531/
Hide and Seek	horror, mystery, thriller	2005	John Polson	5.7	101	http://www.imdb.com/title/tt0382077/
The Wicker Man	horror, mystery, thriller	2006	Neil LaBute	3.6	102	http://www.imdb.com/title/tt0450345/
Vacancy	horror, thriller	2007	Nimród Antal	6.2	85	http://www.imdb.com/title/tt0452702/
The Eye	drama, horror, thriller	2008	David Moreau, Xavier Palud	5.2	98	http://www.imdb.com/title/tt0406759/
Saw VI	horror, mystery	2009	Kevin Greutert	5.9	90	http://www.imdb.com/title/tt1233227/
Shark Night 3D	horror, thriller	2011	David R. Ellis	3.9	90	http://www.imdb.com/title/tt1633356/
ATM	horror, thriller	2012	David Brooks	4.6	90	http://www.imdb.com/title/tt1603257/
Storage 24	horror, sci_fi	2012	Johannes Roberts	4.4	87	http://www.imdb.com/title/tt1986953/
Kill List	crime, horror, thriller	2011	Ben Wheatley	6.2	95	http://www.imdb.com/title/tt1788391/
Detention	comedy, horror, sci_fi	2011	Joseph Kahn	5.6	93	http://www.imdb.com/title/tt1701990/
After.Life	drama, horror, mystery, thriller	2009	Agnieszka Wojtowicz-Vosloo	5.9	104	http://www.imdb.com/title/tt0838247/
Carriers	drama, horror, sci_fi, thriller	2009	David Pastor, Àlex Pastor	6.1	84	http://www.imdb.com/title/tt0806203/
