Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Charlie Wilson's War	biography, comedy, drama, history	2007	Mike Nichols	7.1	102	http://www.imdb.com/title/tt0472062/
Kill the Irishman	action, biography, crime, drama, thriller	2011	Jonathan Hensleigh	7.1	106	http://www.imdb.com/title/tt1416801/
The Assassination of Jesse James by the Coward Robert Ford	biography, crime, drama, history, western	2007	Andrew Dominik	7.6	160	http://www.imdb.com/title/tt0443680/
Papillon	biography, crime, drama	1973	Franklin J. Schaffner	8	151	http://www.imdb.com/title/tt0070511/
Mask	biography, drama	1985	Peter Bogdanovich	7	120	http://www.imdb.com/title/tt0089560/
Malcolm X	biography, drama, history	1992	Spike Lee	7.6	202	http://www.imdb.com/title/tt0104797/
What's Love Got to Do with It	biography, drama, music	1993	Brian Gibson	6.9	118	http://www.imdb.com/title/tt0108551/
The Hurricane	biography, drama, sport	1999	Norman Jewison	7.4	146	http://www.imdb.com/title/tt0174856/
The Insider	biography, drama, thriller	1999	Michael Mann	7.9	157	http://www.imdb.com/title/tt0140352/
Lords of Dogtown	biography, drama, sport	2005	Catherine Hardwicke	6.9	107	http://www.imdb.com/title/tt0355702/
Domino	action, biography, crime, drama, thriller	2005	Tony Scott	5.9	127	http://www.imdb.com/title/tt0421054/
Invincible	biography, drama, sport	2006	Ericson Core	7	105	http://www.imdb.com/title/tt0445990/
Elizabeth: The Golden Age	biography, drama, history	2007	Shekhar Kapur	6.8	114	http://www.imdb.com/title/tt0414055/
Julie & Julia	biography, drama, romance	2009	Nora Ephron	7	123	http://www.imdb.com/title/tt1135503/
Kill Your Darlings	biography, drama, romance, thriller	2013	John Krokidas	7.5		http://www.imdb.com/title/tt1311071/
Fair Game	biography, drama, thriller	2010	Doug Liman	6.8	108	http://www.imdb.com/title/tt0977855/
The Runaways	biography, drama, music	2010	Floria Sigismondi	6.5	106	http://www.imdb.com/title/tt1017451/
Rescue Dawn	adventure, biography, drama, war	2006	Werner Herzog	7.4	126	http://www.imdb.com/title/tt0462504/
The Basketball Diaries	biography, crime, drama, sport	1995	Scott Kalvert	7.1	102	http://www.imdb.com/title/tt0112461/
Born on the Fourth of July	biography, drama, war	1989	Oliver Stone	7.1	145	http://www.imdb.com/title/tt0096969/
Ed Wood	biography, comedy, drama	1994	Tim Burton	8	127	http://www.imdb.com/title/tt0109707/
October Sky	biography, drama, family	1999	Joe Johnston	7.7	108	http://www.imdb.com/title/tt0132477/
Confessions of a Dangerous Mind	biography, comedy, crime, drama, thriller	2002	George Clooney	7.1	113	http://www.imdb.com/title/tt0270288/
The Queen	biography, drama	2006	Stephen Frears	7.4	103	http://www.imdb.com/title/tt0436697/
The Great Debaters	biography, drama	2007	Denzel Washington	7.5	126	http://www.imdb.com/title/tt0427309/
The Express	biography, drama, sport	2008	Gary Fleder	7.1	130	http://www.imdb.com/title/tt0469903/
W.	biography, drama, history	2008	Oliver Stone	6.4	129	http://www.imdb.com/title/tt1175491/
Notorious	biography, drama, music	2009	George Tillman Jr.	6.4	122	http://www.imdb.com/title/tt0472198/
Conviction	biography, drama	2010	Tony Goldwyn	7.1	107	http://www.imdb.com/title/tt1244754/
You Don't Know Jack	biography, drama	2010	Barry Levinson	7.7	134	http://www.imdb.com/title/tt1132623/
The Young Victoria	biography, drama, history, romance	2009	Jean-Marc Vallée	7.2	105	http://www.imdb.com/title/tt0962736/
I'm Not There.	biography, drama, music	2007	Todd Haynes	6.9	135	http://www.imdb.com/title/tt0368794/
Midnight Express	biography, crime, drama	1978	Alan Parker	7.6	121	http://www.imdb.com/title/tt0077928/
Awakenings	biography, drama	1990	Penny Marshall	7.6	121	http://www.imdb.com/title/tt0099077/
