Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Chariots of Fire	drama, history, sport	1981	Hugh Hudson	7.2	124	http://www.imdb.com/title/tt0082158/
History of the World: Part I	comedy, history, musical	1981	Mel Brooks	6.7	92	http://www.imdb.com/title/tt0082517/
Little Big Man	history, western	1970	Arthur Penn	7.6	139	http://www.imdb.com/title/tt0065988/
Beneath Hill 60	drama, history, war	2010	Jeremy Hartley Sims	6.9	122	http://www.imdb.com/title/tt1418646/
Jesus Christ Superstar	drama, history, musical	1973	Norman Jewison	7	108	http://www.imdb.com/title/tt0070239/
1900	drama, history	1976	Bernardo Bertolucci	7.6	317	http://www.imdb.com/title/tt0074084/
The Bounty	action, adventure, drama, history	1984	Roger Donaldson	6.9	132	http://www.imdb.com/title/tt0086993/
The Alamo	drama, history, war, western	2004	John Lee Hancock	5.9	137	http://www.imdb.com/title/tt0318974/
Shattered Glass	drama, history	2003	Billy Ray	7.2	94	http://www.imdb.com/title/tt0323944/
54	drama, history	1998	Mark Christopher	5.6	93	http://www.imdb.com/title/tt0120577/
Heaven's Gate	drama, history, romance, western	1980	Michael Cimino	6.6	219	http://www.imdb.com/title/tt0080855/
Tora! Tora! Tora!	action, adventure, drama, history, war	1970	Richard Fleischer, Kinji Fukasaku	7.4	144	http://www.imdb.com/title/tt0066473/
Casualties of War	drama, history, war	1989	Brian DePalma	7	113	http://www.imdb.com/title/tt0097027/
Anna and the King	comedy, drama, history, romance	1999	Andy Tennant	6.5	148	http://www.imdb.com/title/tt0166485/
Titus	drama, history, thriller	1999	Julie Taymor	7.1	162	http://www.imdb.com/title/tt0120866/
Aguirre: The Wrath of God	adventure, drama, history	1972	Werner Herzog	8	93	http://www.imdb.com/title/tt0068182/
Gods and Generals	drama, history, war	2003	Ronald F. Maxwell	6.1	219	http://www.imdb.com/title/tt0279111/
Glorious 39	drama, history, thriller, war	2009	Stephen Poliakoff	6.3	129	http://www.imdb.com/title/tt1319694/
Beyond the Gates	drama, history	2005	Michael Caton-Jones	7.5	115	http://www.imdb.com/title/tt0420901/
Conspiracy	drama, history, war	2001	Frank Pierson	7.7	96	http://www.imdb.com/title/tt0266425/
Missing	drama, history, mystery, thriller	1982	Costa-Gavras	7.7	122	http://www.imdb.com/title/tt0084335/
Iron Jawed Angels	drama, history	2004	Katja von Garnier	7.3	123	http://www.imdb.com/title/tt0338139/
Bloody Sunday	drama, history, war	2002	Paul Greengrass	7.7	107	http://www.imdb.com/title/tt0280491/
Sunshine	drama, history, romance, war	1999	István Szabó	7.3	181	http://www.imdb.com/title/tt0145503/
Revolution	adventure, drama, history, war	1985	Hugh Hudson	4.9	126	http://www.imdb.com/title/tt0089913/
The Devils	drama, history	1971	Ken Russell	7.6	111	http://www.imdb.com/title/tt0066993/
Passchendaele	drama, history, romance, war	2008	Paul Gross	6.5	114	http://www.imdb.com/title/tt1092082/
1776	drama, family, history, musical	1972	Peter H. Hunt	7.2	142	http://www.imdb.com/title/tt0068156/
The Newton Boys	action, crime, drama, history, western	1998	Richard Linklater	5.8	113	http://www.imdb.com/title/tt0120769/
King of the Hill	drama, history	1993	Steven Soderbergh	7.3	103	http://www.imdb.com/title/tt0107322/
Zulu Dawn	adventure, drama, history, war	1979	Douglas Hickox	6.5	113	http://www.imdb.com/title/tt0080180/
Geronimo: An American Legend	drama, history, western	1993	Walter Hill	6.3	115	http://www.imdb.com/title/tt0107004/
The Tuskegee Airmen	drama, history, war	1995	Robert Markowitz	7.1	106	http://www.imdb.com/title/tt0114745/
Titanic	action, drama, history, romance	1996	Robert Lieberman	5.9	173	http://www.imdb.com/title/tt0115392/
Scandal	drama, history	1989	Michael Caton-Jones	6.3	115	http://www.imdb.com/title/tt0098260/
The Winter Queen	action, crime, drama, history, thriller	2014	Fedor Bondarchuk			http://www.imdb.com/title/tt0937380/
Bury My Heart at Wounded Knee	drama, history, western	2007	Yves Simoneau	7.1	133	http://www.imdb.com/title/tt0821638/
Battle for Haditha	drama, history, war	2007	Nick Broomfield	6.9	97	http://www.imdb.com/title/tt0870211/
Recount	drama, history	2008	Jay Roach	7.4	116	http://www.imdb.com/title/tt1000771/
Rogue Trader	crime, drama, history, thriller	1999	James Dearden	6.1	101	http://www.imdb.com/title/tt0131566/
