Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
What to Expect When You're Expecting	comedy, drama, romance	2012	Kirk Jones	5.5	110	http://www.imdb.com/title/tt1586265/
Vanilla Sky	mystery, romance, sci_fi, thriller	2001	Cameron Crowe	6.8	136	http://www.imdb.com/title/tt0259711/
The Sessions	comedy, drama, romance	2012	Ben Lewin	7.2	95	http://www.imdb.com/title/tt1866249/
Weird Science	comedy, fantasy, romance	1985	John Hughes	6.4	94	http://www.imdb.com/title/tt0090305/
The Adjustment Bureau	romance, sci_fi, thriller	2011	George Nolfi	7	106	http://www.imdb.com/title/tt1385826/
The Twilight Saga: Breaking Dawn - Part 1	adventure, drama, fantasy, romance	2011	Bill Condon	4.8	117	http://www.imdb.com/title/tt1324999/
No Strings Attached	comedy, romance	2011	Ivan Reitman	6.1	108	http://www.imdb.com/title/tt1411238/
Yes Man	comedy, romance	2008	Peyton Reed	6.8	104	http://www.imdb.com/title/tt1068680/
The First Time	comedy, drama, romance	2012	Jonathan Kasdan	6.9		http://www.imdb.com/title/tt1763303/
Upside Down	drama, fantasy, romance, sci_fi	2012	Juan Diego Solanas	6.3	100	http://www.imdb.com/title/tt1374992/
Life as We Know It	comedy, drama, romance	2010	Greg Berlanti	6.4	114	http://www.imdb.com/title/tt1055292/
Hall Pass	comedy, romance	2011	Bobby Farrelly, Peter Farrelly	5.9	105	http://www.imdb.com/title/tt0480687/
Forgetting Sarah Marshall	comedy, drama, romance	2008	Nicholas Stoller	7.2	111	http://www.imdb.com/title/tt0800039/
Beauty and the Beast	animation, family, fantasy, musical, romance	1991	Gary Trousdale, Kirk Wise	8	84	http://www.imdb.com/title/tt0101414/
Step Up Revolution	drama, music, romance	2012	Scott Speer	6.2	99	http://www.imdb.com/title/tt1800741/
Happy Gilmore	comedy, romance, sport	1996	Dennis Dugan	6.9	92	http://www.imdb.com/title/tt0116483/
Remember Me	drama, romance	2010	Allen Coulter	7.1	113	http://www.imdb.com/title/tt1403981/
The Three Musketeers	action, adventure, comedy, romance	2011	Paul W.S. Anderson	5.7	110	http://www.imdb.com/title/tt1509767/
Seeking a Friend for the End of the World	drama, romance, sci_fi	2012	Lorene Scafaria	6.7	101	http://www.imdb.com/title/tt1307068/
10 Things I Hate About You	comedy, drama, romance	1999	Gil Junger	7	97	http://www.imdb.com/title/tt0147800/
Ruby Sparks	comedy, fantasy, romance	2012	Jonathan Dayton, Valerie Faris	7.1	104	http://www.imdb.com/title/tt1839492/
She's Out of My League	comedy, romance	2010	Jim Field Smith	6.4	104	http://www.imdb.com/title/tt0815236/
Slumdog Millionaire	drama, romance, thriller	2008	Danny Boyle, Loveleen Tandan	8.1	120	http://www.imdb.com/title/tt1010048/
Dirty Dancing	drama, music, romance	1987	Emile Ardolino	6.6	100	http://www.imdb.com/title/tt0092890/
Wedding Crashers	comedy, romance	2005	David Dobkin	7	119	http://www.imdb.com/title/tt0396269/
