Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Ice Age	animation, adventure, comedy, family	2002	Chris Wedge, Carlos Saldanha	7.5	81	http://www.imdb.com/title/tt0268380/
Shrek 2	animation, adventure, comedy, family, fantasy	2004	Andrew Adamson, Kelly Asbury	7.3	93	http://www.imdb.com/title/tt0298148/
Bolt	animation, adventure, comedy, family, sci_fi	2008	Byron Howard, Chris Williams	7	96	http://www.imdb.com/title/tt0397892/
9	animation, action, adventure, fantasy, mystery, sci_fi, thriller	2009	Shane Acker	7	79	http://www.imdb.com/title/tt0472033/
Cloudy with a Chance of Meatballs	animation, comedy, family, fantasy	2009	Phil Lord, Chris Miller	7	90	http://www.imdb.com/title/tt0844471/
Ice Age: Dawn of the Dinosaurs	animation, action, adventure, comedy, family, romance, sci_fi	2009	Carlos Saldanha, Mike Thurmeier	7	94	http://www.imdb.com/title/tt1080016/
Monsters vs Aliens	animation, action, adventure, comedy, family, sci_fi	2009	Rob Letterman, Conrad Vernon	6.6	94	http://www.imdb.com/title/tt0892782/
The Princess and the Frog	animation, family, fantasy, musical, romance	2009	Ron Clements, John Musker	7.1	97	http://www.imdb.com/title/tt0780521/
Hop	animation, comedy, family, fantasy	2011	Tim Hill	5.3	95	http://www.imdb.com/title/tt1411704/
The Smurfs	animation, adventure, comedy, family, fantasy	2011	Raja Gosnell	5.3	103	http://www.imdb.com/title/tt0472181/
Happy Feet Two	animation, comedy, family, musical	2011	George Miller, Gary Eck	5.8	100	http://www.imdb.com/title/tt1402488/
The Pirates! Band of Misfits	animation, adventure, comedy, family	2012	Peter Lord, Jeff Newitt	6.7	88	http://www.imdb.com/title/tt1430626/
Zambezia	animation, adventure, comedy, family	2012	Wayne Thornley	5.6	83	http://www.imdb.com/title/tt1488181/
Cheech & Chong's Animated Movie	animation, comedy	2013	Branden Chambers, Eric D. Chambers	3.8		http://www.imdb.com/title/tt1340803/
The Nightmare Before Christmas	animation, family, fantasy, musical	1993	Henry Selick	8	76	http://www.imdb.com/title/tt0107688/
Pocahontas	animation, adventure, drama, family, history, musical, romance	1995	Mike Gabriel, Eric Goldberg	6.3	81	http://www.imdb.com/title/tt0114148/
The Iron Giant	animation, action, adventure, comedy, crime, family, sci_fi	1999	Brad Bird	7.9	86	http://www.imdb.com/title/tt0129167/
Tarzan	animation, adventure, drama, family, romance	1999	Chris Buck, Kevin Lima	7	88	http://www.imdb.com/title/tt0120855/
The Emperor's New Groove	animation, adventure, comedy, family, fantasy	2000	Mark Dindal	7.2	78	http://www.imdb.com/title/tt0120917/
Atlantis: The Lost Empire	animation, adventure, family, sci_fi	2001	Gary Trousdale, Kirk Wise	6.5	95	http://www.imdb.com/title/tt0230011/
Lilo & Stitch	animation, adventure, comedy, family, sci_fi	2002	Dean DeBlois, Chris Sanders	7	85	http://www.imdb.com/title/tt0275847/
Over the Hedge	animation, adventure, comedy, family	2006	Tim Johnson, Karey Kirkpatrick	6.8	83	http://www.imdb.com/title/tt0327084/
Beowulf	animation, action, adventure, fantasy	2007	Robert Zemeckis	6.3	115	http://www.imdb.com/title/tt0442933/
Meet the Robinsons	animation, adventure, comedy, family, sci_fi	2007	Stephen Anderson	6.8	95	http://www.imdb.com/title/tt0396555/
Shrek the Third	animation, adventure, comedy, family, fantasy	2007	Chris Miller, Raman Hui	6	93	http://www.imdb.com/title/tt0413267/
Horton Hears a Who!	animation, adventure, comedy, family, fantasy	2008	Jimmy Hayward, Steve Martino	6.9	86	http://www.imdb.com/title/tt0451079/
Madagascar: Escape 2 Africa	animation, action, adventure, comedy, family	2008	Eric Darnell, Tom McGrath	6.7	89	http://www.imdb.com/title/tt0479952/
Coraline	animation, fantasy, thriller	2009	Henry Selick	7.7	100	http://www.imdb.com/title/tt0327597/
Fantastic Mr. Fox	animation, adventure, comedy, family	2009	Wes Anderson	7.8	87	http://www.imdb.com/title/tt0432283/
