Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Firecreek	western	1968	Vincent McEveety	6.7	104	http://www.imdb.com/title/tt0062975/
Hour of the Gun	western	1967	John Sturges	6.6	100	http://www.imdb.com/title/tt0061787/
The Wild Wild West	action, comedy, drama, fantasy, sci_fi, thriller, western	1965		7.8	50	http://www.imdb.com/title/tt0058855/
4 for Texas	western, comedy	1963	Robert Aldrich	5.6	124	http://www.imdb.com/title/tt0057071/
Centennial	action, adventure, drama, romance, western	1978		7.6	1256	http://www.imdb.com/title/tt0076993/
Love's Enduring Promise	drama, western	2004	Michael Landon Jr.	6.8	120	http://www.imdb.com/title/tt0402348/
Comanche Moon	drama, western	2008		7.2	360	http://www.imdb.com/title/tt0783328/
The Unsinkable Molly Brown	biography, comedy, musical, romance, western	1964	Charles Walters	6.5	128	http://www.imdb.com/title/tt0058708/
Return of the Seven	western	1966	Burt Kennedy	5.3	95	http://www.imdb.com/title/tt0060897/
Sergeant Rutledge	western, crime	1960	John Ford	7.3	111	http://www.imdb.com/title/tt0054292/
Lawman	western	1971	Michael Winner	6.8	99	http://www.imdb.com/title/tt0067333/
There Was a Crooked Man...	action, comedy, drama, western	1970	Joseph L. Mankiewicz	7	126	http://www.imdb.com/title/tt0066448/
Tall Tale	adventure, family, fantasy, western	1995	Jeremiah Chechik	5.5	98	http://www.imdb.com/title/tt0111359/
The Train Robbers	western	1973	Burt Kennedy	6.2	92	http://www.imdb.com/title/tt0070825/
The Apple Dumpling Gang	family, comedy, western	1975	Norman Tokar	6	100	http://www.imdb.com/title/tt0072653/
Sunset	crime, action, comedy, thriller, western	1988	Blake Edwards	5.6	102	http://www.imdb.com/title/tt0096193/
Kung Fu	adventure, drama, western	1972		7.6	60	http://www.imdb.com/title/tt0068093/
Fallout: New Vegas	action, adventure, sci_fi, thriller, western	2010	Josh Sawyer	8.1		http://www.imdb.com/title/tt1706601/
Wagons East	adventure, comedy, western	1994	Peter Markle	4.4	107	http://www.imdb.com/title/tt0111653/
Love Comes Softly	romance, western, drama	2003	Michael Landon Jr.	7.2	84	http://www.imdb.com/title/tt0345591/
Last of the Dogmen	adventure, western	1995	Tab Murphy	6.6	118	http://www.imdb.com/title/tt0113617/
Extreme Prejudice	action, crime, drama, western	1987	Walter Hill	6.4	96	http://www.imdb.com/title/tt0092997/
Goin' South	comedy, western	1978	Jack Nicholson	6.2	105	http://www.imdb.com/title/tt0077621/
Broken Trail	western	2006		7.6	184	http://www.imdb.com/title/tt0482857/
Longmire	action, crime, drama, western	2012		7.7	60	http://www.imdb.com/title/tt1836037/
Wild Bill	action, biography, western	1995	Walter Hill	5.8	98	http://www.imdb.com/title/tt0114938/
North to Alaska	comedy, western	1960	Henry Hathaway	6.8	122	http://www.imdb.com/title/tt0054127/
The Villain	comedy, western	1979	Hal Needham	5.1	89	http://www.imdb.com/title/tt0080097/
Red Sun	action, thriller, western	1971	Terence Young	6.8	112	http://www.imdb.com/title/tt0067770/
The Unforgiven	drama, romance, western	1960	John Huston	6.7	125	http://www.imdb.com/title/tt0054428/
Major Dundee	adventure, war, western	1965	Sam Peckinpah	6.7	123	http://www.imdb.com/title/tt0059418/
Texas Rangers	action, adventure, drama, thriller, western	2001	Steve Miner	5	90	http://www.imdb.com/title/tt0193560/
The Life and Times of Judge Roy Bean	comedy, romance, western	1972	John Huston	6.9	120	http://www.imdb.com/title/tt0068853/
Nevada Smith	western	1966	Henry Hathaway	6.9	128	http://www.imdb.com/title/tt0060748/
The Comancheros	action, western, adventure, romance	1961	Michael Curtiz	6.7	107	http://www.imdb.com/title/tt0054757/
Lightning Jack	comedy, western	1994	Simon Wincer	5	98	http://www.imdb.com/title/tt0110353/
The Electric Horseman	comedy, western, drama, romance	1979	Sydney Pollack	6	122	http://www.imdb.com/title/tt0079100/
The Adventures of Brisco County Jr.	action, sci_fi, western, adventure, comedy	1993	Tom Chehak, Kevin Bright	8.2	45	http://www.imdb.com/title/tt0105932/
Lonely Are the Brave	drama, western	1962	David Miller	7.6	107	http://www.imdb.com/title/tt0056195/
Mackenna's Gold	romance, western	1969	J. Lee Thompson	6.5	128	http://www.imdb.com/title/tt0064615/
The War Wagon	western	1967	Burt Kennedy	6.7	96	http://www.imdb.com/title/tt0062472/
Honkytonk Man	comedy, drama, music, western	1982	Clint Eastwood	6.5	122	http://www.imdb.com/title/tt0084088/
Dr. Quinn, Medicine Woman	drama, family, western	1993	Chuck Bowman, Jerry Jameson	6.2	60	http://www.imdb.com/title/tt0103405/
The Burrowers	horror, thriller, western	2008	J.T. Petty	5.7	96	http://www.imdb.com/title/tt0445939/
The Man from Snowy River	adventure, drama, family, romance, western	1982	George Miller	7	102	http://www.imdb.com/title/tt0084296/
Into the West	western, adventure, drama	2005		7.8	552	http://www.imdb.com/title/tt0409572/
The Claim	drama, romance, western	2000	Michael Winterbottom	6.4	120	http://www.imdb.com/title/tt0218378/
A Man Called Horse	adventure, drama, western	1970	Elliot Silverstein	6.9	114	http://www.imdb.com/title/tt0066049/
Rio Lobo	adventure, western, romance, war	1970	Howard Hawks	6.6	114	http://www.imdb.com/title/tt0066301/
Geronimo: An American Legend	drama, history, western	1993	Walter Hill	6.3	115	http://www.imdb.com/title/tt0107004/
Tremors 4: The Legend Begins	action, comedy, horror, sci_fi, thriller, western	2004	S.S. Wilson	5.2	101	http://www.imdb.com/title/tt0334541/
Even Cowgirls Get the Blues	comedy, drama, romance, western	1993	Gus Van Sant Jr.	4	95	http://www.imdb.com/title/tt0106834/
The Missouri Breaks	drama, western	1976	Arthur Penn	6.5	126	http://www.imdb.com/title/tt0074906/
