Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Harry Potter and the Prisoner of Azkaban	adventure, family, fantasy, mystery	2004	Alfonso Cuarón	7.7	142	http://www.imdb.com/title/tt0304141/
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	adventure, family, fantasy	2005	Andrew Adamson	6.9	143	http://www.imdb.com/title/tt0363771/
Harry Potter and the Goblet of Fire	adventure, family, fantasy, mystery	2005	Mike Newell	7.5	157	http://www.imdb.com/title/tt0330373/
Pan's Labyrinth	drama, fantasy, war	2006	Guillermo del Toro	8.3	118	http://www.imdb.com/title/tt0457430/
Superman Returns	action, adventure, fantasy, sci_fi	2006	Bryan Singer	6.2	154	http://www.imdb.com/title/tt0348150/
Ratatouille	animation, comedy, family, fantasy	2007	Brad Bird, Jan Pinkava	8	111	http://www.imdb.com/title/tt0382932/
Harry Potter and the Half-Blood Prince	adventure, family, fantasy, mystery	2009	David Yates	7.4	153	http://www.imdb.com/title/tt0417741/
Alice in Wonderland	adventure, family, fantasy	2010	Tim Burton	6.5	108	http://www.imdb.com/title/tt1014759/
Clash of the Titans	action, adventure, fantasy	2010	Louis Leterrier	5.8	106	http://www.imdb.com/title/tt0800320/
Harry Potter and the Deathly Hallows: Part 1	adventure, family, fantasy, mystery	2010	David Yates	7.6	146	http://www.imdb.com/title/tt0926084/
Percy Jackson & the Olympians: The Lightning Thief	adventure, family, fantasy	2010	Chris Columbus	5.8	118	http://www.imdb.com/title/tt0814255/
I Am Number Four	drama, romance, sci_fi, thriller	2011	D.J. Caruso	6.1	109	http://www.imdb.com/title/tt1464540/
Sucker Punch	action, fantasy, thriller	2011	Zack Snyder	6	110	http://www.imdb.com/title/tt0978764/
Immortals	action, drama, fantasy	2011	Tarsem Singh Dhandwar	6	110	http://www.imdb.com/title/tt1253864/
Abraham Lincoln: Vampire Hunter	action, fantasy, horror, thriller	2012	Timur Bekmambetov	5.9	105	http://www.imdb.com/title/tt1611224/
The Lorax	animation, comedy, family, fantasy	2012	Chris Renaud, Kyle Balda	6.3	86	http://www.imdb.com/title/tt1482459/
The Odd Life of Timothy Green	comedy, drama, fantasy	2012	Peter Hedges	6.4	105	http://www.imdb.com/title/tt1462769/
ParaNorman	animation, adventure, comedy, family, fantasy	2012	Chris Butler, Sam Fell	7	92	http://www.imdb.com/title/tt1623288/
Wrath of the Titans	action, adventure, fantasy	2012	Jonathan Liebesman	5.8	99	http://www.imdb.com/title/tt1646987/
Monsters University	animation, adventure, comedy, family, fantasy	2013	Dan Scanlon	7.8	110	http://www.imdb.com/title/tt1453405/
Beasts of the Southern Wild	drama, fantasy	2012	Benh Zeitlin	7.3	93	http://www.imdb.com/title/tt2125435/
John Dies at the End	comedy, fantasy, horror, sci_fi	2012	Don Coscarelli	6.4	99	http://www.imdb.com/title/tt1783732/
Noah	drama, fantasy	2014	Darren Aronofsky			http://www.imdb.com/title/tt1959490/
Teenage Mutant Ninja Turtles	animation, action, adventure, comedy, fantasy, sci_fi	2014	Jonathan Liebesman			http://www.imdb.com/title/tt1291150/
Epic	animation, adventure, family, fantasy	2013	Chris Wedge	6.8	102	http://www.imdb.com/title/tt0848537/
Who Framed Roger Rabbit	animation, comedy, crime, family, fantasy	1988	Robert Zemeckis	7.7	104	http://www.imdb.com/title/tt0096438/
The Addams Family	comedy, fantasy	1991	Barry Sonnenfeld	6.7	99	http://www.imdb.com/title/tt0101272/
Army of Darkness	comedy, fantasy, horror	1992	Sam Raimi	7.6	81	http://www.imdb.com/title/tt0106308/
The Crow	action, fantasy	1994	Alex Proyas	7.6	102	http://www.imdb.com/title/tt0109506/
Liar Liar	comedy	1997	Tom Shadyac	6.7	86	http://www.imdb.com/title/tt0119528/
Jurassic Park III	action, adventure, fantasy, sci_fi, thriller	2001	Joe Johnston	5.8	92	http://www.imdb.com/title/tt0163025/
Shrek	animation, adventure, comedy, family, fantasy	2001	Andrew Adamson, Vicky Jenson	7.9	90	http://www.imdb.com/title/tt0126029/
Harry Potter and the Chamber of Secrets	adventure, family, fantasy, mystery	2002	Chris Columbus	7.2	161	http://www.imdb.com/title/tt0295297/
Underworld	action, fantasy, thriller	2003	Len Wiseman	6.9	121	http://www.imdb.com/title/tt0320691/
Spider-Man 2	action, adventure, fantasy	2004	Sam Raimi	7.4	127	http://www.imdb.com/title/tt0316654/
Van Helsing	action, adventure, fantasy, mystery, thriller	2004	Stephen Sommers	5.8	131	http://www.imdb.com/title/tt0338526/
Charlie and the Chocolate Factory	adventure, comedy, family, fantasy	2005	Tim Burton	6.8	115	http://www.imdb.com/title/tt0367594/
Fantastic Four	action, adventure, fantasy, sci_fi	2005	Tim Story	5.7	106	http://www.imdb.com/title/tt0120667/
Pirates of the Caribbean: Dead Man's Chest	action, adventure, fantasy	2006	Gore Verbinski	7.3	151	http://www.imdb.com/title/tt0383574/
Harry Potter and the Order of the Phoenix	adventure, family, fantasy, mystery	2007	David Yates	7.4	138	http://www.imdb.com/title/tt0373889/
Pirates of the Caribbean: At World's End	action, adventure, fantasy	2007	Gore Verbinski	7	169	http://www.imdb.com/title/tt0449088/
Spider-Man 3	action, adventure, fantasy	2007	Sam Raimi	6.3	139	http://www.imdb.com/title/tt0413300/
The Lovely Bones	drama, fantasy	2009	Peter Jackson	6.6	135	http://www.imdb.com/title/tt0380510/
The Last Airbender	action, adventure, family, fantasy	2010	M. Night Shyamalan	4.4	103	http://www.imdb.com/title/tt0938283/
Shrek Forever After	animation, adventure, comedy, family, fantasy	2010	Mike Mitchell	6.4	93	http://www.imdb.com/title/tt0892791/
Drive Angry	action, crime, fantasy, thriller	2011	Patrick Lussier	5.5	104	http://www.imdb.com/title/tt1502404/
Red Riding Hood	fantasy, horror, mystery, thriller	2011	Catherine Hardwicke	5.2	100	http://www.imdb.com/title/tt1486185/
Your Highness	adventure, comedy, fantasy	2011	David Gordon Green	5.5	102	http://www.imdb.com/title/tt1240982/
Conan the Barbarian	action, adventure, fantasy	2011	Marcus Nispel	5.1	113	http://www.imdb.com/title/tt0816462/
Journey 2: The Mysterious Island	action, adventure, comedy, family, fantasy, sci_fi	2012	Brad Peyton	5.7	94	http://www.imdb.com/title/tt1397514/
Mirror Mirror	adventure, comedy, drama, family, fantasy	2012	Tarsem Singh Dhandwar	5.5	106	http://www.imdb.com/title/tt1667353/
Underworld: Awakening	action, fantasy, horror	2012	Mårlind, Stein	6.3	88	http://www.imdb.com/title/tt1496025/
The Tree of Life	drama, fantasy	2011	Terrence Malick	6.8	139	http://www.imdb.com/title/tt0478304/
Monty Python and the Holy Grail	adventure, comedy, fantasy	1975	Terry Gilliam, Terry Jones	8.4	91	http://www.imdb.com/title/tt0071853/
The NeverEnding Story	adventure, drama, family, fantasy	1984	Wolfgang Petersen	7.4	102	http://www.imdb.com/title/tt0088323/
Beetlejuice	comedy, fantasy	1988	Tim Burton	7.4	92	http://www.imdb.com/title/tt0094721/
Batman	action, fantasy	1989	Tim Burton	7.6	126	http://www.imdb.com/title/tt0096895/
The Secret Garden	drama, family, fantasy	1993	Agnieszka Holland	7.1	101	http://www.imdb.com/title/tt0108071/
Matilda	comedy, family, fantasy, sci_fi	1996	Danny DeVito	6.6	98	http://www.imdb.com/title/tt0117008/
The Neverending Story III	adventure, family, fantasy	1994	Peter Macdonald	2.9	95	http://www.imdb.com/title/tt0110647/
The Mummy Returns	action, adventure, fantasy	2001	Stephen Sommers	6.2	130	http://www.imdb.com/title/tt0209163/
Lemony Snicket's A Series of Unfortunate Events	adventure, comedy, family, fantasy	2004	Brad Silberling	6.8	108	http://www.imdb.com/title/tt0339291/
Shrek 2	animation, adventure, comedy, family, fantasy	2004	Andrew Adamson, Kelly Asbury	7.3	93	http://www.imdb.com/title/tt0298148/
Constantine	fantasy, horror	2005	Francis Lawrence	6.8	121	http://www.imdb.com/title/tt0360486/
Bridge to Terabithia	adventure, drama, family, fantasy	2007	Gabor Csupo	7.2	96	http://www.imdb.com/title/tt0398808/
Evan Almighty	comedy, family, fantasy	2007	Tom Shadyac	5.4	96	http://www.imdb.com/title/tt0413099/
Hellboy II: The Golden Army	action, adventure, fantasy, sci_fi	2008	Guillermo del Toro	7.1	120	http://www.imdb.com/title/tt0411477/
Journey to the Center of the Earth	action, adventure, family, fantasy, sci_fi	2008	Eric Brevig	5.7	93	http://www.imdb.com/title/tt0373051/
9	animation, action, adventure, fantasy, mystery, sci_fi, thriller	2009	Shane Acker	7	79	http://www.imdb.com/title/tt0472033/
Cloudy with a Chance of Meatballs	animation, comedy, family, fantasy	2009	Phil Lord, Chris Miller	7	90	http://www.imdb.com/title/tt0844471/
The Imaginarium of Doctor Parnassus	adventure, fantasy, mystery	2009	Terry Gilliam	6.9	123	http://www.imdb.com/title/tt1054606/
The Chronicles of Narnia: The Voyage of the Dawn Treader	adventure, family, fantasy	2010	Michael Apted	6.3	113	http://www.imdb.com/title/tt0980970/
The Sorcerer's Apprentice	action, adventure, comedy, drama, fantasy	2010	Jon Turteltaub	6.1	109	http://www.imdb.com/title/tt0963966/
Hop	animation, comedy, family, fantasy	2011	Tim Hill	5.3	95	http://www.imdb.com/title/tt1411704/
